date,outflow (m3/d),inflow (m3/d),spill (m3/d),avg water temperature (C),elevation (m)
1999-01-01,141216108.1344,134806090.75199997,0.0,3.89,133.328664
1999-01-02,130304399.15519999,128934319.104,0.0,3.89,133.264656
1999-01-03,96101329.30560002,102511346.688,0.0,3.89,133.359144
1999-01-04,94878043.5456,91012460.544,0.0,3.89,133.38657600000002
1999-01-05,90131694.7968,95416289.28000002,0.0,3.89,133.432296
1999-01-06,106743915.4176,105691889.664,0.0,3.89,133.447536
1999-01-07,104077152.46079999,102266689.53599998,0.0,3.89,133.392672
1999-01-08,126316487.57760002,125753776.12799999,0.0,,133.359144
1999-01-09,115478175.744,116456804.352,0.0,3.89,133.374384
1999-01-10,120469181.6448,118658718.72,0.0,3.89,133.377432
1999-01-11,124212436.07040001,127711033.34400001,0.0,3.89,133.316472
1999-01-12,136763347.968,136518690.81599998,0.0,3.89,133.331712
1999-01-13,125484653.2608,127955690.49599999,0.0,3.89,133.316472
1999-01-14,142586188.1856,139943890.944,0.0,3.89,133.32256800000002
1999-01-15,150562011.34080002,150219491.328,0.0,3.89,133.295136
1999-01-16,169351680.61440003,169302749.18400002,0.0,3.89,133.28599200000002
1999-01-17,149338725.58079997,147038948.352,0.0,3.89,133.292088
1999-01-18,150831134.20799997,152421405.69599998,0.0,,133.31037600000002
1999-01-19,140482136.6784,147038948.352,0.0,4.44,133.331712
1999-01-20,152201214.2592,149974834.176,0.0,4.44,133.328664
1999-01-21,145008293.99040002,143858405.376,0.0,4.44,133.301232
1999-01-22,161449254.6048,160495091.71199998,0.0,4.44,133.371336
1999-01-23,151418311.3728,145571005.44,0.0,4.44,133.356096
1999-01-24,152127817.11360002,156825234.432,0.0,4.44,133.32256800000002
1999-01-25,149142999.8592,144347719.68,0.0,4.44,133.328664
1999-01-26,137888770.8672,140677862.39999998,0.0,4.44,133.34695200000002
1999-01-27,147870782.66879997,148996205.56800002,0.0,4.44,133.282944
1999-01-28,129888481.9968,129668290.56,0.0,4.44,133.32561600000002
1999-01-29,124432627.50719999,124041176.06400001,0.0,4.44,133.298184
1999-01-30,139234385.20319998,140188548.096,0.0,4.44,133.32256800000002
1999-01-31,125239996.10879998,132114862.08,0.0,4.44,133.359144
1999-02-01,146402839.7568,139454576.64,0.0,4.44,133.36524
1999-02-02,110340375.552,109606404.09599999,0.0,4.44,133.35
1999-02-03,134414639.30879998,135050747.904,0.0,4.44,133.31952
1999-02-04,125093201.8176,126487747.584,0.0,4.44,133.32256800000002
1999-02-05,142928708.19840002,145571005.44,0.0,3.89,133.38657600000002
1999-02-06,82889843.09760001,87342603.264,0.0,3.89,133.560312
1999-02-07,120615975.93599999,118169404.416,0.0,3.89,133.572504
1999-02-08,132188259.22559999,147528262.65600002,6140894.515199999,3.89,133.721856
1999-02-09,143564816.79360002,140188548.096,11229763.276800001,3.89,133.831584
1999-02-10,136322965.0944,133338147.83999999,0.0,,133.63956000000002
1999-02-11,112786947.072,102511346.688,0.0,3.33,133.60908
1999-02-12,113349658.52160001,115722832.89599998,0.0,3.33,133.371336
1999-02-13,130084207.7184,129178976.256,0.0,3.33,133.47801600000003
1999-02-14,96223657.8816,97128889.344,0.0,3.33,133.636512
1999-02-15,127784430.4896,133093490.688,0.0,3.33,133.724904
1999-02-16,143418022.50239998,138965262.336,0.0,3.33,133.46277600000002
1999-02-17,126683473.3056,123062547.45599999,0.0,3.33,133.496304
1999-02-18,115209052.8768,127221719.04,0.0,3.33,133.633464
1999-02-19,128640730.5216,121349947.392,0.0,3.89,133.694424
1999-02-20,140604465.2544,143858405.376,0.0,3.89,133.523736
1999-02-21,138965262.336,133827462.144,0.0,4.44,133.584696
1999-02-22,145155088.2816,155601948.672,0.0,4.44,133.63956000000002
1999-02-23,119882004.48,114010232.832,0.0,4.44,133.508496
1999-02-24,181266483.91680002,183003549.696,30998061.1584,4.44,133.57555200000002
1999-02-25,214148405.14560002,223127322.624,63488530.944,5.0,133.734048
1999-02-26,206001321.984,210160493.56800002,68822056.85759999,5.0,133.93216800000002
1999-02-27,222344419.73759997,219702122.496,77189331.456,5.0,133.86816000000002
1999-02-28,216301388.08319998,224595265.53599998,76235168.5632,5.0,133.737096
1999-03-01,271765164.4416,254198780.92800003,155626414.3872,4.81,133.764528
1999-03-02,273404367.36,281355724.79999995,117508830.1056,4.77,133.612128
1999-03-03,223323048.3456,227286494.208,56148816.383999996,4.75,133.734048
1999-03-04,244314631.9872,245880437.76,53506519.14240001,4.71,133.697472
1999-03-05,201793218.9696,199640236.03199998,4208103.0144,4.64,133.599936
1999-03-06,193377012.9408,189364635.648,0.0,4.68,133.785864
1999-03-07,196875610.21440002,185939435.52,0.0,4.7,133.47496800000002
1999-03-08,180997361.0496,186673406.97599998,0.0,4.64,133.484112
1999-03-09,192789835.776,194991750.14400002,0.0,4.69,133.45668
1999-03-10,200863521.792,202086807.552,0.0,4.79,133.56336000000002
1999-03-11,172850277.888,173461920.76800004,3302871.552,4.83,133.63956000000002
1999-03-12,177082846.61759996,189364635.648,15486797.7216,4.81,133.95655200000002
1999-03-13,209059536.384,199150921.72800002,33371235.532800004,4.89,133.70356800000002
1999-03-14,197022404.5056,201108178.944,43915958.783999994,5.05,133.840728
1999-03-15,227849205.6576,231690322.94399998,80883654.4512,5.24,133.923024
1999-03-16,233525251.58400002,234626208.76799998,57567827.865600005,5.33,133.816344
1999-03-17,217524673.84319997,205756664.832,44723327.3856,5.46,133.865112
1999-03-18,216325853.79839998,229733065.72800002,42301221.5808,5.56,133.798056
1999-03-19,249452432.1792,230711694.336,75843717.12,5.89,133.70052
1999-03-20,206539567.71839997,218968151.03999996,37041092.812800005,6.1,133.59384
1999-03-21,287496619.31520003,284780924.92800003,114450615.7056,6.27,133.82244
1999-03-22,282456681.984,285759553.536,106719449.70239998,6.69,133.721856
1999-03-23,318396817.6128,325394012.15999997,138573810.89279997,7.18,133.926072
1999-03-24,297038248.24319994,289674067.968,111294538.44479999,7.27,133.886448
1999-03-25,298848711.168,305821440.0,90547611.9552,7.26,134.017512
1999-03-26,314873754.624,316831011.84,94535523.53280002,7.32,134.017512
1999-03-27,334544189.6448,331755098.112,114034698.54720001,7.38,133.926072
1999-03-28,330042498.048,328819212.28800005,110144649.83040002,7.26,133.968744
1999-03-29,300023065.49759996,300194325.504,90963529.11359999,7.29,133.938264
1999-03-30,279080413.28639996,282089696.256,71244162.6624,7.31,133.97484
1999-03-31,300316654.08,279398467.58400005,77898837.1968,7.54,133.764528
1999-04-01,218674562.4576,222148694.01599997,2960351.5391999995,7.67,133.404864
1999-04-02,225720688.4352,219702122.496,2691228.6720000003,7.66,133.62736800000002
1999-04-03,247128189.2352,249060980.736,53995833.4464,7.63,133.43839200000002
1999-04-04,225476031.2832,220436093.952,147283605.504,7.49,133.42315200000002
1999-04-05,211041259.31520003,210894465.02400002,147112345.49760002,7.57,133.340856
1999-04-06,188312609.8944,194502435.84,139723699.5072,7.44,133.374384
1999-04-07,191272961.4336,190343264.25599998,139112056.62719998,7.5,133.453632
1999-04-08,196043775.8976,197438321.66399997,132530779.2384,7.61,133.39572
1999-04-09,193964190.1056,191811207.168,109214952.6528,7.61,133.404864
1999-04-10,201817684.68479997,198661607.424,110266978.4064,7.77,133.407912
1999-04-11,186795735.55199996,185939435.52,111881715.60959998,8.0,133.407912
1999-04-12,186012832.66560003,184716149.75999996,121716933.12,8.06,133.353048
1999-04-13,198343553.1264,209181864.96,154794580.0704,8.3,133.36219200000002
1999-04-14,211212519.32159996,208692550.656,154280800.0512,8.58,133.39876800000002
1999-04-15,213561227.98080003,211628436.48,155944468.6848,8.88,133.36219200000002
1999-04-16,215078102.3232,212117750.784,156115728.6912,8.92,133.368288
1999-04-17,217475742.41279995,219457465.34399998,153693622.8864,9.33,133.36219200000002
1999-04-18,226136605.5936,224595265.53599998,154085074.3296,9.54,133.36524
1999-04-19,253709466.62399998,255911380.99199998,203065436.16000003,9.46,133.392672
1999-04-20,309393434.41919994,305332125.696,223592171.2128,9.53,133.383528
1999-04-21,317956434.73920006,324904697.856,247690900.68479997,9.77,133.32561600000002
1999-04-22,308977517.2608,310959240.1919999,246076163.4816,10.17,133.371336
1999-04-23,306139494.29760003,301662268.41599995,243727454.82240003,10.46,133.36219200000002
1999-04-24,277906058.95680004,272303410.176,219114945.3312,10.69,133.38048
1999-04-25,268976072.9088,272058753.024,223910225.51039997,10.74,133.36524
1999-04-26,284805390.6432,288940096.512,223910225.51039997,10.75,133.392672
1999-04-27,308953051.5456,310469925.888,219628725.3504,10.53,133.38657600000002
1999-04-28,318837200.4864,320256211.968,177327503.7696,10.37,133.35
1999-04-29,272132150.16959995,259091923.96800002,182587632.5376,10.6,133.343904
1999-04-30,254957218.09919995,259581238.27199996,159761120.25599998,10.85,133.377432
1999-05-01,243996577.6896,246859066.36800003,160813146.0096,11.03,133.39572
1999-05-02,264082929.86879998,268388895.74400005,177743420.928,10.97,133.404864
1999-05-03,260168415.4368,258113295.35999998,170159049.216,10.86,133.404864
1999-05-04,280744081.92,287227496.448,173510852.19840002,10.6,133.414008
1999-05-05,257208063.8976,247103723.51999998,173094935.04000002,10.47,133.38048
1999-05-06,257819706.7776,260804524.03199998,175688300.8512,10.28,133.377432
1999-05-07,230515968.6144,227286494.208,156825234.432,10.12,133.374384
1999-05-08,247495174.96319997,248082352.12800002,177694489.4976,10.26,133.407912
1999-05-09,230858488.6272,235115523.07199997,170672829.23520002,10.36,133.343904
1999-05-10,243727454.82240003,243433866.24,172140772.1472,10.65,133.39876800000002
1999-05-11,229390545.7152,230956351.488,164385140.4288,10.65,133.41096000000002
1999-05-12,219212808.19199997,220436093.952,156531645.8496,10.69,133.389624
1999-05-13,215738676.6336,216032265.21599996,141583093.8624,10.84,133.407912
1999-05-14,222858199.7568,217744865.28,184080041.1648,11.17,133.359144
1999-05-15,211041259.31520003,215542950.912,151393845.65760002,11.39,133.389624
