date,outflow (m3/d),inflow (m3/d),spill (m3/d),avg water temperature (C),elevation (m)
1999-01-01,123967778.9184,122328576.0,0.0,,194.2338
1999-01-02,123184876.032,120126661.632,0.0,,194.166744
1999-01-03,102144360.96000001,100554089.472,0.0,,194.185032
1999-01-04,88565889.024,89055203.32800001,0.0,,194.13626399999998
1999-01-05,89446654.7712,95660946.432,0.0,,194.185032
1999-01-06,109019226.9312,95171632.12799999,0.0,,194.185032
1999-01-07,100162638.02879998,109851061.248,0.0,,194.057016
1999-01-08,121252084.5312,125998433.28,0.0,,194.185032
1999-01-09,116334475.776,113520918.528,0.0,,194.197224
1999-01-10,114132561.408,108627775.488,0.0,,194.21551200000002
1999-01-11,124677284.6592,126732404.73599999,0.0,,194.21246399999998
1999-01-12,134830556.46719998,132114862.08,0.0,,194.133216
1999-01-13,122793424.58879998,128934319.104,0.0,,194.185032
1999-01-14,140555533.824,142390462.46400002,0.0,,194.197224
1999-01-15,140971450.98239997,135784719.36,0.0,,194.169792
1999-01-16,157681534.46400002,154867977.216,0.0,,194.044824
1999-01-17,140482136.6784,141656491.008,0.0,,194.11492800000002
1999-01-18,146329442.6112,142635119.616,0.0,,194.093592
1999-01-19,142268133.88799998,146549634.048,0.0,,194.06616000000002
1999-01-20,136738882.2528,139699233.79200003,0.0,,194.124072
1999-01-21,142414928.17920002,143369091.072,0.0,,194.22770400000002
1999-01-22,153791485.7472,152176748.544,0.0,,194.26428
1999-01-23,138304688.0256,137252662.272,0.0,,194.245992
1999-01-24,150586477.056,154134005.76,0.0,,194.328288
1999-01-25,140531068.10880002,136518690.81599998,0.0,,194.27952
1999-01-26,149730177.02400002,139209919.48799998,0.0,,194.22770400000002
1999-01-27,140237479.5264,130157604.86400001,0.0,,194.13626399999998
1999-01-28,125509118.976,127221719.04,0.0,,194.057016
1999-01-29,120224524.4928,126732404.73599999,0.0,,194.099688
1999-01-30,136371896.5248,131380890.624,0.0,,194.07530400000002
1999-01-31,128493936.23040001,126487747.584,0.0,,194.072256
1999-02-01,135246473.62559998,137986633.728,0.0,,194.06616000000002
1999-02-02,112224235.6224,118169404.416,0.0,,194.10273600000002
