date,avg gain (m3/d),computed inflow (m3/d),unregulated flow (m3/d),elevation (m),discharge (m3/d),total avg discharge (m3/d),spillway discharge (m3/d),storage (m3)
1990-01-01,,913647.6684288,1739023.0364159998,901.336272,391451.4432,,,73172722.5864
1990-01-02,,989491.3855488,2092797.278208,901.436856,391451.4432,,,73775955.98040001
1990-01-03,,987705.3883391999,1553303.7923327999,901.5374400000001,391451.4432,,,74379177.0396
1990-01-04,,918222.7571712,1655546.0161535998,901.6258320000001,391451.4432,,,74912410.4436
1990-01-05,,1016281.3436927999,1700024.6863872,901.729464,391451.4432,,,75541485.2436
1990-01-06,,1012440.2264064,1824408.382464,901.8330960000001,391451.4432,,,76167562.6872
1990-01-07,,1109887.1700479998,2554171.7354496,901.951968,391451.4432,,,76889345.84400001
1990-01-08,,1188152.9929728,2372807.388672,902.0830320000001,391451.4432,,,77690848.8132
1990-01-09,,1102571.9212032,2224422.825984,902.198856,393898.01472,,,78395560.6068
1990-01-10,,1207016.059392,2291630.1456383998,902.3360160000001,381665.15712,,,79239569.2968
1990-01-11,,1163638.3463424,2212972.8712704,902.46708,366985.728,,,80047449.3576
1990-01-12,,1259225.8956288002,2531859.0031871996,902.613384,362092.58496,,,80955154.9548
1990-01-13,,1068589.0427903999,2022287.0870016,902.7292080000001,362092.58496,,,81671547.804
1990-01-14,,1242931.7293055998,2281036.4909568,902.872464,362092.58496,,,82562798.77800001
1990-01-15,,1190795.2902144,2234478.2349312,903.006576,366985.728,,,83402564.2968
1990-01-16,,1231677.5003136,2231958.2662656,903.146784,366985.728,,,84280715.7132
1990-01-17,,1138194.0025344,2762644.0946688,903.271752,366985.728,,,85067663.61840001
1990-01-18,,425703.44448,1300181.5028735998,903.2839440000001,366985.728,,,85142609.8632
1990-01-19,,582724.4046336,1068907.097088,903.3205200000001,366985.728,,,85373690.00639999
1990-01-20,,599948.2681344,1430681.6277504,903.3601440000001,366985.728,,,85623519.0456
1990-01-21,,566258.978304,1374092.4284927999,903.393672,366985.728,,,85832741.9232
1990-01-22,,661748.6647296001,1878575.4759168,903.4424400000001,366985.728,,,86142814.12560001
1990-01-23,,660280.7218176,1882563.3874944001,903.491208,369432.29952,,,86451702.1872
1990-01-24,,663632.5248,1517388.1224192001,903.539976,364539.15648,,,86763760.2924
1990-01-25,,586492.1247744,1692611.5746816,903.576552,359646.01344,,,86993841.3168
1990-01-26,,808469.558784,1889952.0334848,903.646656,366985.728,,,87438288.83039999
1990-01-27,,699254.6061312,1922833.9547135998,903.698472,366985.728,,,87769243.8492
1990-01-28,,680709.5940096,1972425.959424,903.7472400000001,364539.15648,,,88082066.712
1990-01-29,,853951.3233408,2068551.7544448,903.8234400000001,359646.01344,,,88564826.1144
1990-01-30,,663559.1276544001,1704110.4608256,903.86916,359646.01344,,,88860207.57000001
1990-01-31,,700722.5490432001,1984267.3655808,903.920976,359646.01344,,,89193703.55759999
1990-02-01,,756015.0653951999,1887603.3248255998,903.9819360000001,366985.728,,,89581188.9648
1990-02-02,,800102.2841855999,1914784.7344127998,904.048992,366985.728,,,90013758.066
1990-02-03,,602517.1682304001,1417592.4701184,904.085568,366985.728,,,90247379.178
1990-02-04,,819161.0763263999,1927727.0977535998,904.155672,371878.87104,,,90698610.8316
1990-02-05,,642738.8040191999,1713578.692608,904.1983440000001,374325.44256,,,90973837.224
1990-02-06,,802940.3071488,1991631.545856,904.2654,386558.30016,,,91409058.3072
1990-02-07,,661552.939008,1770461.480448,904.3111200000001,379218.5856,,,91703489.9832
1990-02-08,,817350.6134015999,1943654.2783488,904.3812240000001,379218.5856,,,92153019.4344
1990-02-09,,1124346.4077312,2428491.3564672,904.4970480000001,379218.5856,,,92906281.00080001
1990-02-10,,785691.9779328,2062557.6542208,904.561056,376772.01408,,,93321556.7124
1990-02-11,,821705.5107072,2145007.1144448,904.63116,376772.01408,,,93775428.0132
1990-02-12,,825179.6422655999,2008830.9436416,904.701264,376772.01408,,,94233135.4368
1990-02-13,,609073.979904,1529229.528576,904.7378400000001,376772.01408,,,94473923.0676
1990-02-14,,703903.0920192,1414485.324288,904.789656,376772.01408,,,94812303.63599999
1990-02-15,,741335.6362751999,1295973.3998592,904.847568,374325.44256,,,95189736.1812
1990-02-16,,771550.7945472,2017467.3411072,904.908528,374325.44256,,,95593195.1544
1990-02-17,,844213.9686912,1999460.57472,904.98168,376772.01408,,,96069392.44319999
1990-02-18,,770621.0973696001,1710691.7382144001,905.0426400000001,381665.15712,,,96471913.9716
1990-02-19,,769446.74304,1564166.5698816,905.1036,384111.72864,,,96874435.5
1990-02-20,,769789.2630528,1680011.7313535998,905.1645599999999,386558.30016,,,97276957.0284
1990-02-21,,825546.6279936,2001099.7776384,905.234664,391451.4432,,,97735120.83960001
1990-02-22,,855786.2519808001,2270516.2334208,905.3078160000001,391451.4432,,,98222518.1268
1990-02-23,,834378.7511808,1986909.6628224,905.37792,391451.4432,,,98688107.4876
1990-02-24,,853828.9947648001,1975777.7624064002,905.451072,396344.58624,,,99173494.20240001
1990-02-25,,892802.8790784,2328157.458432,905.5303200000001,396344.58624,,,99698512.6296
1990-02-26,,900460.647936,2375963.4659328,905.609568,396344.58624,,,100229747.796
1990-02-27,,957490.2300672,2471110.6323456,905.69796,393898.01472,,,100819437.5796
1990-02-28,,901439.2765439999,2420735.7247488,905.7772080000001,393898.01472,,,101352498.2964
1990-03-01,,978114.8279808001,2654774.756352,905.8686480000001,396344.58624,,,101965599.5304
1990-03-02,,1655032.2361344001,3349038.3565823995,906.060672,393898.01472,,,103256720.05080001
1990-03-03,,1203126.0106752,3411425.9303423995,906.1856400000001,396344.58624,,,104097398.3448
1990-03-04,,1129606.5364992,3288926.094336,906.2984160000001,396344.58624,,,104865103.962
1990-03-05,,1152726.6373632,3008500.0667136,906.4142400000001,393898.01472,,,105653112.66
1990-03-06,,1152114.9944832001,3042385.0822656,906.530064,391451.4432,,,106440393.6048
1990-03-07,,1096137.4381056,2942173.5128063997,906.6367440000001,391451.4432,,,107172723.0156
1990-03-08,,1239139.5434496,3316963.8039552,906.76476,391451.4432,,,108048111.4368
1990-03-09,,424969.47302399995,2166390.1495296,906.773904,391451.4432,,,108109415.3928
1990-03-10,,1203126.0106752,3404526.5986559996,906.8958240000001,393898.01472,,,108948268.1364
1990-03-11,,1160066.3519232,3114558.9421055997,907.0116480000002,396344.58624,,,109746231.018
1990-03-12,,1086204.3577344,2827943.0885376004,907.1183280000001,379218.5856,,,110484851.17680001
1990-03-13,,1138340.7968255999,2722324.5960192,907.234152,371878.87104,,,111283800.84240001
1990-03-14,,1040942.7846144,2576655.7277184003,907.3347360000001,371878.87104,,,111985885.32360001
1990-03-15,,1079060.368896,2360060.7510528,907.4414160000001,371878.87104,,,112725048.21360001
1990-03-16,,1061298.2596608,2618296.3749888,907.542,369432.29952,,,113432054.28
1990-03-17,,1147221.8514432001,2877535.0932480004,907.6578240000001,371878.87104,,,114240057.68879999
1990-03-18,,1133227.4623488,2873033.4016512,907.7706000000001,366985.728,,,115031717.4876
1990-03-19,,1292303.5425792001,3664572.6855168,907.904712,359646.01344,,,115980140.25960001
1990-03-20,,2609513.1832319996,3567786.3161855997,908.13636,362092.58496,,,117616215.7968
1990-03-21,,3419426.2192128003,4522267.263283201,908.5082160000001,359646.01344,,,120265718.50199999
1990-03-22,,3513129.9084288003,5474570.761728,908.8648320000001,1022666.89536,,,122830271.4396
1990-03-23,,3761701.5748608,6414470.142566401,909.1178160000001,1830035.49696,,,124662248.2704
1990-03-24,,3682530.5204736,5716145.2336128,909.303744,2255738.94144,,,126011157.3288
1990-03-25,,3560740.190208,4531833.357926399,909.4713840000001,2250845.7983999997,,,127236471.6912
1990-03-26,,3400465.2899328,6054139.0891007995,909.617688,2250845.7983999997,,,128301297.97080001
1990-03-27,,3486706.9360128003,5214940.5920256,909.7731360000001,2260632.08448,,,129450666.9696
1990-03-28,,3458155.4463744,4944105.1247616,909.9255360000001,2260632.08448,,,130573281.7872
1990-03-29,,3486951.5931648,4857716.6843904,910.0809840000001,2258185.51296,,,131725376.7768
1990-03-30,,3445262.0144640002,5368047.037747201,910.2303360000001,2260632.08448,,,132836964.2832
1990-03-31,,3451182.7175423997,5795585.4108672,910.379688,2260632.08448,,,133950648.70560001
1990-04-01,,3600032.1288192,6266305.7713152,910.5473280000001,2258185.51296,,,135211240.596
1990-04-02,,3681209.3718528003,6965584.8431616,910.6936320000001,2446571.52,,,136302179.6472
1990-04-03,,3776111.8811136,7504882.603315201,910.7942160000001,2789091.5328,,,137062003.3272
1990-04-04,,3889070.0881919996,9050724.352512,910.842984,3253940.1215999997,,,137428001.5128
1990-04-05,,5813616.6429696,7762188.5300736,911.10816,3547528.704,,,139431752.7684
1990-04-06,,6915968.372736,7486215.2626176,911.4678240000001,3841117.2864,,,142175641.3632
1990-04-07,,6921595.487232,7410714.0655104,911.8092,3963445.8624,,,144800844.5124
1990-04-08,,6914084.5126656005,7540308.958924799,912.1475280000001,3963445.8624,,,147417252.9492
1990-04-09,,6889374.140313599,7453357.807104,912.440136,4305965.8752,,,149688126.6336
1990-04-10,,9371102.893056,7206547.672166401,912.99792,4697417.3184,,,154072703.9808
1990-04-11,,10556026.4116224,7351922.9518848,913.656288,5088868.7616,,,159309714.6864
1990-04-12,,10535426.279423999,8499120.3376128,914.27808,5357991.6288,,,164326746.5688
1990-04-13,,10436071.0099968,6441529.2235776,914.8328160000001,5773908.7872,,,168855678.08040002
1990-04-14,,10173431.557324799,7633376.5395456,915.320496,6043031.6544,,,172874343.58560002
1990-04-15,,10166458.8284928,9755630.5388544,915.795984,6091963.0848,,,176846038.1724
1990-04-16,,12757402.533888,7616421.798912,916.545792,6385551.6672,,,183165328.8996
1990-04-17,,13713375.889612801,9983039.3616384,917.353512,6703605.9648,,,190094452.1388
1990-04-18,,15728494.5220608,9648250.5148416,918.304488,7266317.4144,,,198390628.92720002
1990-04-19,,16530456.2006016,8986355.0558208,919.2950880000001,7486508.851199999,,,207199908.726
1990-04-20,,15848229.732249599,10635344.2603008,920.17596,7682234.5728,,,215171815.95720002
1990-04-21,,15824791.577087998,10797184.966348799,921.01416,7902426.0095999995,,,222872357.58839998
1990-04-22,,15475176.50688,10988311.133491201,921.7914000000001,8000288.870399999,,,230124159.1956
1990-04-23,,16692517.0980864,12161050.725887999,922.693608,7926891.7248,,,238674395.85959998
1990-04-24,,16649212.7821824,12333876.5380608,923.608008,7633303.1424,,,247478544.38160002
1990-04-25,,15829782.582988799,11158372.3198464,924.449256,7364180.2752,,,255731438.35680002
1990-04-26,,15150834.520473601,10400081.9429376,925.2234480000001,7217385.984,,,263427847.83
1990-04-27,,14245113.7437696,10095092.337254401,925.9153440000001,7070591.6928,,,270394678.5528
1990-04-28,,16024333.9502592,19281356.7519744,926.7962160000001,6801468.8256,,,279399797.9712
