date,avg discharge (cfs),avg discharge (m3/d)
1999-04-01 00:00:00+00:00,158.0,386558.30016
1999-04-02 00:00:00+00:00,155.0,379218.5856
1999-04-03 00:00:00+00:00,153.0,374325.44256
1999-04-04 00:00:00+00:00,158.0,386558.30016
1999-04-05 00:00:00+00:00,158.0,386558.30016
1999-04-06 00:00:00+00:00,155.0,379218.5856
1999-04-07 00:00:00+00:00,153.0,374325.44256
1999-04-08 00:00:00+00:00,153.0,374325.44256
1999-04-09 00:00:00+00:00,150.0,366985.728
1999-04-10 00:00:00+00:00,148.0,362092.58496
1999-04-11 00:00:00+00:00,145.0,354752.87039999996
1999-04-12 00:00:00+00:00,145.0,354752.87039999996
1999-04-13 00:00:00+00:00,145.0,354752.87039999996
1999-04-14 00:00:00+00:00,148.0,362092.58496
1999-04-15 00:00:00+00:00,145.0,354752.87039999996
1999-04-16 00:00:00+00:00,148.0,362092.58496
1999-04-17 00:00:00+00:00,155.0,379218.5856
1999-04-18 00:00:00+00:00,173.0,423256.87296
1999-04-19 00:00:00+00:00,197.0,481974.58943999995
1999-04-20 00:00:00+00:00,222.0,543138.8774400001
1999-04-21 00:00:00+00:00,236.0,577390.87872
1999-04-22 00:00:00+00:00,248.0,606749.73696
1999-04-23 00:00:00+00:00,257.0,628768.88064
1999-04-24 00:00:00+00:00,277.0,677700.3110400001
1999-04-25 00:00:00+00:00,295.0,721738.5984
1999-04-26 00:00:00+00:00,323.0,790242.60096
1999-04-27 00:00:00+00:00,352.0,861193.17504
1999-04-28 00:00:00+00:00,364.0,890552.03328
1999-04-29 00:00:00+00:00,364.0,890552.03328
1999-04-30 00:00:00+00:00,361.0,883212.31872
1999-05-01 00:00:00+00:00,368.0,900338.3193600001
1999-05-02 00:00:00+00:00,368.0,900338.3193600001
1999-05-03 00:00:00+00:00,365.0,892998.6048000001
1999-05-04 00:00:00+00:00,368.0,900338.3193600001
1999-05-05 00:00:00+00:00,361.0,883212.31872
