date,max water temperature (C),min water temperature (C),avg water temperature (C),avg discharge (cfs),avg discharge (m3/d)
1999-01-01 00:00:00+00:00,,,,3720.0,9101246.054399999
1999-01-02 00:00:00+00:00,,,,3610.0,8832123.1872
1999-01-03 00:00:00+00:00,,,,3430.0,8391740.3136
1999-01-04 00:00:00+00:00,,,,2900.0,7095057.408
1999-01-05 00:00:00+00:00,,,,1930.0,4721883.0336
1999-01-06 00:00:00+00:00,,,,1560.0,3816651.5712
1999-01-07 00:00:00+00:00,,,,1340.0,3278405.8367999997
1999-01-08 00:00:00+00:00,,,,1360.0,3327337.2672
1999-01-09 00:00:00+00:00,,,,1420.0,3474131.5584
1999-01-10 00:00:00+00:00,,,,1290.0,3156077.2608
1999-01-11 00:00:00+00:00,,,,598.0,1463049.76896
1999-01-12 00:00:00+00:00,,,,333.0,814708.3161599999
1999-01-13 00:00:00+00:00,,,,409.0,1000647.7516799999
1999-01-14 00:00:00+00:00,,,,378.0,924804.0345600001
1999-01-15 00:00:00+00:00,,,,1970.0,4819745.8944
1999-01-16 00:00:00+00:00,,,,2160.0,5284594.4832
1999-01-17 00:00:00+00:00,,,,2000.0,4893143.04
1999-01-18 00:00:00+00:00,,,,2140.0,5235663.0528
1999-01-19 00:00:00+00:00,,,,1820.0,4452760.1663999995
1999-01-20 00:00:00+00:00,,,,1230.0,3009282.9696
1999-01-21 00:00:00+00:00,,,,1670.0,4085774.4384000003
1999-01-22 00:00:00+00:00,,,,1760.0,4305965.8752
1999-01-23 00:00:00+00:00,,,,1610.0,3938980.1471999995
1999-01-24 00:00:00+00:00,,,,2070.0,5064403.046399999
1999-01-25 00:00:00+00:00,,,,2060.0,5039937.3312
1999-01-26 00:00:00+00:00,,,,2020.0,4942074.4704
1999-01-27 00:00:00+00:00,,,,1970.0,4819745.8944
1999-01-28 00:00:00+00:00,,,,1700.0,4159171.584
1999-01-29 00:00:00+00:00,,,,1190.0,2911420.1088
1999-01-30 00:00:00+00:00,,,,968.0,2368281.23136
1999-01-31 00:00:00+00:00,,,,934.0,2285097.79968
1999-02-01 00:00:00+00:00,,,,485.0,1186587.1872
1999-02-02 00:00:00+00:00,,,,151.0,369432.29951999994
1999-02-03 00:00:00+00:00,,,,349.0,853853.46048
1999-02-04 00:00:00+00:00,,,,295.0,721738.5984
1999-02-05 00:00:00+00:00,,,,194.0,474634.87488
1999-02-06 00:00:00+00:00,,,,478.0,1169461.1865599998
1999-02-07 00:00:00+00:00,,,,1510.0,3694322.9952
1999-02-08 00:00:00+00:00,,,,1550.0,3792185.8559999997
1999-02-09 00:00:00+00:00,,,,908.0,2221486.94016
1999-02-10 00:00:00+00:00,,,,233.0,570051.16416
1999-02-11 00:00:00+00:00,,,,57.0,139454.57663999998
1999-02-12 00:00:00+00:00,,,,49.0,119882.00448
1999-02-13 00:00:00+00:00,,,,52.0,127221.71904000001
1999-02-14 00:00:00+00:00,,,,51.0,124775.14752
1999-02-15 00:00:00+00:00,,,,51.0,124775.14752
1999-02-16 00:00:00+00:00,,,,52.0,127221.71904000001
1999-02-17 00:00:00+00:00,,,,1030.0,2519968.6656
1999-02-18 00:00:00+00:00,,,,1400.0,3425200.128
1999-02-19 00:00:00+00:00,,,,1850.0,4526157.312
1999-02-20 00:00:00+00:00,,,,1090.0,2666762.9568
1999-02-21 00:00:00+00:00,,,,487.0,1191480.33024
1999-02-22 00:00:00+00:00,,,,341.0,834280.8883199999
1999-02-23 00:00:00+00:00,,,,519.0,1269770.61888
1999-02-24 00:00:00+00:00,,,,692.0,1693027.49184
1999-02-25 00:00:00+00:00,,,,597.0,1460603.1974399998
1999-02-26 00:00:00+00:00,,,,601.0,1470389.48352
1999-02-27 00:00:00+00:00,,,,1260.0,3082680.1152
1999-02-28 00:00:00+00:00,,,,1780.0,4354897.3056
1999-03-01 00:00:00+00:00,,,,1950.0,4770814.464
1999-03-02 00:00:00+00:00,,,,1530.0,3743254.4255999997
1999-03-03 00:00:00+00:00,,,,1480.0,3620925.8496000003
1999-03-04 00:00:00+00:00,,,,1460.0,3571994.4192000004
1999-03-05 00:00:00+00:00,,,,1220.0,2984817.2544
1999-03-06 00:00:00+00:00,,,,708.0,1732172.63616
1999-03-07 00:00:00+00:00,,,,373.0,912571.1769600001
1999-03-08 00:00:00+00:00,,,,198.0,484421.16096
1999-03-09 00:00:00+00:00,,,,199.0,486867.73248
1999-03-10 00:00:00+00:00,,,,199.0,486867.73248
1999-03-11 00:00:00+00:00,,,,198.0,484421.16096
1999-03-12 00:00:00+00:00,,,,212.0,518673.16224000003
1999-03-13 00:00:00+00:00,,,,547.0,1338274.62144
