date,max water temperature (C),min water temperature (C),avg water temperature (C)
2023-09-28 00:00:00+00:00,17.1,15.9,16.5
2023-09-29 00:00:00+00:00,16.9,15.9,16.5
2023-09-30 00:00:00+00:00,17.5,15.6,16.5
2023-10-01 00:00:00+00:00,17.1,15.1,16.1
2023-10-02 00:00:00+00:00,16.0,15.2,15.5
2023-10-03 00:00:00+00:00,16.4,15.2,15.7
2023-10-04 00:00:00+00:00,17.5,15.4,16.3
2023-10-05 00:00:00+00:00,17.7,15.7,16.6
2023-10-06 00:00:00+00:00,18.5,16.2,17.3
2023-10-07 00:00:00+00:00,19.1,16.9,17.9
2023-10-08 00:00:00+00:00,19.1,17.0,18.0
2023-10-09 00:00:00+00:00,17.7,16.6,17.2
2023-10-10 00:00:00+00:00,16.6,14.8,15.9
2023-10-11 00:00:00+00:00,15.4,14.1,15.0
2023-10-12 00:00:00+00:00,16.1,14.9,15.5
2023-10-13 00:00:00+00:00,15.3,13.8,14.2
2023-10-14 00:00:00+00:00,13.9,13.6,13.8
2023-10-15 00:00:00+00:00,15.0,13.6,14.3
2023-10-16 00:00:00+00:00,15.5,14.4,14.9
2023-10-17 00:00:00+00:00,15.6,14.3,14.9
2023-10-18 00:00:00+00:00,15.2,14.2,14.7
2023-10-19 00:00:00+00:00,15.3,14.2,14.7
2023-10-20 00:00:00+00:00,14.7,14.3,14.5
2023-10-21 00:00:00+00:00,14.8,14.4,14.6
2023-10-22 00:00:00+00:00,15.1,14.4,14.8
2023-10-23 00:00:00+00:00,14.8,14.3,14.6
2023-10-24 00:00:00+00:00,14.3,12.5,13.7
2023-10-25 00:00:00+00:00,13.1,11.7,12.3
