date,temp(C)
2021-12-03,
2021-12-10,
2021-12-26,-4.170533452782952
2022-01-04,
2022-01-27,
2022-02-05,
2022-02-21,
2022-03-09,1.1696118859344895
2022-03-25,
2022-04-01,
2022-04-10,
2022-04-17,
2022-05-03,13.370531712068415
2022-05-12,
2022-05-19,
2022-05-28,
2022-06-20,
2022-06-29,
2022-07-06,
2022-07-15,22.508951458458707
2022-07-22,
2022-07-31,26.48992435376991
2022-08-07,25.67761696333231
2022-08-16,24.88755131897054
2022-08-23,25.458388268511708
2022-09-01,24.783446719185214
2022-09-08,22.717023985276462
2022-09-17,
2022-09-24,
2022-10-03,18.043828703644163
2022-10-10,
2022-10-19,10.397161709133092
2022-10-26,
2022-11-11,
2022-11-20,
2022-11-27,0.45350028882652943
2022-12-13,
2022-12-22,-23.271946144224952
2023-01-07,
2023-01-23,
2023-01-30,-4.517012371903373
2023-02-08,-0.14615765762378077
2023-02-15,-1.0820107573754552
2023-02-24,-2.01688486764983
2023-03-03,
2023-03-12,
2023-03-19,0.3148421142126658
2023-03-28,5.09862978553233
2023-04-04,6.340171933497206
2023-04-13,4.006402195210711
2023-04-20,6.1159568184958815
2023-04-29,12.890528828013858
2023-05-15,17.789826848929838
2023-05-31,18.366711529142556
2023-06-07,21.34148927330345
2023-06-16,22.250541238675577
2023-06-23,20.368270926295416
2023-07-02,22.41399059525941
2023-07-09,26.70525445387086
2023-07-18,24.050212784921897
2023-07-25,
2023-08-03,23.139385627679662
2023-08-10,21.924312402099385
2023-08-19,
2023-08-26,24.02701669773909
2023-09-04,19.322122020674048
2023-09-11,
2023-09-20,
2023-10-06,14.88550310716673
2023-10-13,
2023-10-22,
2023-10-29,8.26199435848768
