date,temp(C)
2013-03-20,1.970599893099474
2013-03-25,
2013-03-30,5.992105344852087
2013-04-14,4.673759808137996
2013-04-23,
2013-04-30,5.115472294086402
2013-05-16,14.378918926415162
2013-05-25,10.047498419420064
2013-06-01,14.618386776036772
2013-06-10,15.737260802555856
2013-06-17,16.393937301141246
2013-07-03,20.64852728867929
2013-07-12,
2013-07-19,22.78567496838086
2013-07-28,20.859753201544688
2013-08-04,23.96480208693753
2013-08-13,22.67883780744332
2013-08-20,21.675858321321446
2013-08-29,
2013-09-05,
2013-09-14,20.125765725434782
2013-09-21,18.631595256925888
2013-09-30,
2013-10-07,
2013-10-16,11.28685227666771
2013-10-23,11.474740572324665
2013-11-01,4.880809777395722
2013-11-08,
2013-11-17,
2013-11-24,4.356127195266144
2013-12-03,-0.19155539094956817
2013-12-10,
2013-12-19,
2013-12-26,
2014-01-04,2.647241585340865
2014-01-11,
2014-01-20,
2014-01-27,
2014-02-05,-0.41801439354638203
2014-02-12,1.4773071300624516
2014-02-21,
2014-02-28,
2014-03-09,1.2974376071428755
2014-03-25,
2014-04-01,3.1002473308499368
2014-04-10,2.614509558696398
2014-04-17,
2014-04-26,5.812941754269177
2014-05-03,7.763075304210076
2014-05-12,9.812396518511044
2014-05-19,11.451705855887893
2014-05-28,11.118598023744081
2014-06-04,15.287758888543554
2014-06-20,
2014-06-29,
2014-07-06,20.16270833021862
2014-07-15,23.64804041938617
2014-07-31,23.10023609745464
2014-08-07,22.50157525337005
2014-08-16,21.69721029644273
2014-08-23,21.838372526362946
2014-09-01,19.722573593183263
2014-09-08,
2014-09-17,
2014-10-03,11.10863895498905
2014-10-10,16.01189862093523
2014-10-19,13.675540043157914
2014-10-26,
2014-11-04,
2014-11-11,6.946562582357994
2014-11-20,
2014-11-27,
2014-12-06,
2014-12-13,4.325422054881488
2014-12-22,3.6694529447035866
2014-12-29,
2015-01-07,1.7926812922393474
2015-01-14,
2015-01-30,
2015-02-08,
2015-02-15,3.73427158335558
2015-02-24,4.008025545276123
2015-03-12,2.6820657770416116
2015-03-19,
2015-03-28,
2015-04-04,5.567297586391023
2015-04-13,
2015-04-20,12.195970254144116
2015-04-29,7.941586270925416
2015-05-06,8.010139577017826
2015-05-15,10.206056317823043
2015-05-22,
2015-05-31,
2015-06-07,21.61697964782008
2015-06-16,19.774682121755642
2015-06-23,20.085638242376515
2015-07-02,26.265270310285352
2015-07-09,26.437429753713086
2015-07-18,24.510171943130555
2015-07-25,
2015-08-03,
2015-08-10,
2015-08-19,22.947288246843637
2015-08-26,16.27415575830647
2015-09-04,
2015-09-11,19.186040539151787
2015-09-20,14.704997668427971
2015-09-27,14.219484615454752
2015-10-06,
2015-10-13,12.349307402812912
2015-10-22,11.90229040855165
2015-10-29,10.254325177333191
2015-11-07,
2015-11-23,3.775506666331764
2015-11-30,
2015-12-09,
2015-12-16,0.8920205161735839
2015-12-25,
2016-01-01,-2.272184252391611
2016-01-10,
2016-02-02,
2016-02-18,
2016-02-27,
2016-03-05,3.5879874360474826
2016-03-14,
2016-03-30,6.3749112966975146
2016-04-06,1.5606536075632966
2016-04-15,
2016-04-22,
2016-05-01,10.07124328862711
2016-05-08,10.186042305369922
2016-05-17,7.108216765605904
2016-05-24,12.497725369445803
2016-06-02,
2016-06-09,
2016-06-25,
2016-07-04,15.314032061849039
2016-07-11,17.718731064830724
2016-07-20,20.164905372324117
2016-07-27,23.058785145613008
2016-08-05,22.42280967323648
2016-08-12,23.39255647171795
2016-08-21,21.849506223753817
2016-08-28,
2016-09-06,16.910403457588327
2016-09-13,17.27211238975804
2016-09-22,15.105668578316529
2016-09-29,11.675495287253487
2016-10-08,
2016-10-24,
2016-10-31,2.5949608619290503
2016-11-09,3.575388462424257
2016-11-16,
