date,temp(C)
2013-03-20,
2013-03-25,0.7055989253816045
2013-03-30,6.4526566139348605
2013-04-14,4.486689492657979
2013-04-23,
2013-04-30,6.550392435490822
2013-05-16,
2013-05-25,11.108731294028024
2013-06-01,7.909513441775268
2013-06-10,16.79736525903769
2013-06-17,17.516921986656307
2013-07-03,20.530701866752004
2013-07-12,
2013-07-19,23.944985019230323
2013-07-28,20.870344492360065
2013-08-04,23.315348826017562
2013-08-13,22.796518922650478
2013-08-20,22.532363628090437
2013-08-29,
2013-09-05,21.397154405713334
2013-09-14,20.48865095823791
2013-09-21,18.849243589377924
2013-09-30,
2013-10-07,13.38473375611207
2013-10-16,11.82454496584526
2013-10-23,12.51296965917738
2013-11-01,10.116674145116022
2013-11-08,3.970020092513466
2013-11-17,
2013-11-24,4.629635443634572
2013-12-03,
2013-12-10,
2013-12-19,
2013-12-26,1.0528024820698298
2014-01-04,-0.7963642856287118
2014-01-11,
2014-01-20,-0.24014632915863773
2014-01-27,
2014-02-05,-2.973410854021274
2014-02-12,-0.009506536738338978
2014-02-21,-0.533392101801596
2014-02-28,
2014-03-09,-0.9469435368159413
2014-03-16,
2014-03-25,
2014-04-01,
2014-04-10,5.040989813352456
2014-04-17,
2014-04-26,6.304251960535612
2014-05-03,9.424383447792541
2014-05-12,10.706042023463734
2014-05-19,12.394231336863232
2014-05-28,
2014-06-04,16.928360130762908
2014-06-20,15.031004171439927
2014-06-29,15.405013743304226
2014-07-06,20.151992158341844
2014-07-15,25.953330163837265
2014-07-22,
2014-07-31,18.233547764033897
2014-08-07,22.517103748650378
2014-08-16,22.54160749491026
2014-08-23,21.44395750518229
2014-09-01,19.7776190303176
2014-09-08,
2014-09-17,
2014-10-03,16.230016136093422
2014-10-10,16.836465195038045
2014-10-19,14.054737584132546
2014-10-26,9.720573461236443
2014-11-04,
2014-11-11,4.414291744945864
2014-11-20,
2014-11-27,
2014-12-06,
2014-12-13,1.792076218684412
2014-12-22,2.2161032829310567
2014-12-29,
2015-01-07,-0.2683364656422724
2015-01-14,
2015-01-23,
2015-01-30,-0.17711466971130274
2015-02-08,
2015-02-15,1.9695140432063885
2015-02-24,3.8169923243156774
2015-03-12,5.166295590400252
2015-03-19,
2015-03-28,
2015-04-04,6.5674259303414875
2015-04-13,
2015-04-20,13.622366043078152
2015-04-29,8.751245051902261
2015-05-06,9.370814519014576
2015-05-15,12.135807696780944
2015-05-22,
2015-05-31,16.778896293104744
2015-06-07,23.079266695932393
2015-06-16,20.28374475898625
2015-06-23,18.955773234811492
2015-07-02,26.912633153006627
2015-07-09,26.690571154661576
2015-07-18,24.17336682138688
2015-07-25,
2015-08-10,19.914515909400492
2015-08-19,24.113425834765046
2015-08-26,20.795543754015977
2015-09-04,16.434341050165894
2015-09-11,20.453413361400393
2015-09-20,18.06984331885512
2015-09-27,16.065982490535998
2015-10-06,
2015-10-13,15.7425482658484
2015-10-22,13.204627831419154
2015-10-29,10.647045481776996
2015-11-07,
2015-11-23,-0.0768061872727127
2015-11-30,0.27160105533964024
2015-12-09,
2015-12-16,-0.25766337088508506
2015-12-25,
2016-01-01,-13.40918037698265
2016-01-10,
2016-02-02,-4.0485860769764
2016-02-18,0.29967112750255537
2016-02-27,
2016-03-05,2.4502498826472894
2016-03-14,
2016-03-30,7.204632840658191
2016-04-06,5.208330647521774
2016-04-15,5.066735357422943
2016-04-22,
2016-05-01,11.257427337239166
2016-05-08,11.553375427477567
2016-05-17,10.661622871642747
2016-05-24,
2016-06-02,
2016-06-09,
2016-06-25,
2016-07-04,16.407648504896898
2016-07-11,16.83168837864782
2016-07-20,20.048222541208947
2016-07-27,
2016-08-05,22.627015747240353
2016-08-12,22.279911540532243
2016-08-21,22.2937591296929
2016-08-28,20.72919523017431
2016-09-06,17.3261114141264
2016-09-13,17.806264691020846
2016-09-22,16.489543132086663
2016-09-29,13.078474476960436
2016-10-08,
2016-10-24,
2016-10-31,8.280550546564083
2016-11-09,9.590344730993536
2016-11-16,
2016-11-25,
2016-12-18,
2016-12-27,
2017-01-03,
2017-01-12,-25.1293190913042
2017-01-19,
2017-02-13,-8.786615618392203
2017-03-01,-0.5143757531844717
2017-03-08,
2017-03-24,
2017-04-02,2.5199318786366955
2017-04-09,
2017-04-18,5.119396723362388
2017-04-25,
2017-05-04,6.396840836177001
2017-05-11,
2017-05-20,
2017-05-27,19.029062866044786
2017-06-05,15.053296970757001
2017-06-12,12.56400725485192
2017-06-21,15.382885034627883
2017-06-28,16.594462556258236
2017-07-07,22.378288808583807
2017-07-14,22.91844177184672
2017-07-23,22.416000345496197
2017-07-30,22.23206003826518
2017-08-08,25.130316431326136
2017-08-15,22.481118894417868
2017-08-24,19.36445255332004
2017-08-31,21.06319573438421
2017-09-09,15.371784211389874
2017-09-16,
2017-10-02,14.625198188429955
2017-10-11,
2017-10-27,10.547783613260883
2017-11-03,
2017-11-12,
2017-11-19,
2017-12-05,2.2368729305114665
2017-12-14,
2017-12-21,-3.8019430524999898
2017-12-30,0.7599107448119409
2018-01-06,
2018-01-15,
2018-01-22,0.18371434882378737
2018-01-31,
2018-02-07,-2.126882534006752
2018-02-16,1.1942826036266083
2018-02-23,
2018-03-04,
2018-03-11,2.979265346600285
2018-03-20,3.3020859826670526
2018-03-27,
2018-04-12,2.4905434742712367
2018-04-21,6.152049992381763
2018-04-28,
2018-05-07,15.439890411373577
2018-05-14,16.95431921511777
2018-05-23,19.704524204397867
2018-05-30,
2018-06-08,
2018-06-15,16.94050458714808
2018-06-24,19.1341411783009
2018-07-01,16.79541883975411
2018-07-10,18.234050901930452
2018-07-17,22.873908196503574
2018-07-26,25.095189453611848
2018-08-02,21.827255836461088
2018-08-11,20.755943969767717
2018-08-18,22.468769906969648
2018-08-27,19.796375809146546
2018-09-03,19.340490226466688
2018-09-12,17.22904406243891
2018-09-19,18.690371415322762
2018-09-28,17.30601614912159
2018-10-14,12.53189287112066
