date,temp(C)
2013-03-20,10.19490342438271
2013-04-14,
2013-04-30,13.55813889106926
2013-05-16,
2013-06-01,19.484130159788094
2013-06-17,19.574055876249925
2013-07-03,27.897797898165187
2013-07-19,24.980173666854533
2013-08-04,26.510152115124882
2013-08-20,25.990177160586246
2013-09-05,
2013-09-21,
2013-10-07,15.496749446304323
2013-10-23,16.181221067208376
2013-11-08,
2013-11-24,8.73885340175651
2013-12-10,
2013-12-26,
2014-01-11,-4.994255361633725
2014-01-27,
2014-02-12,
2014-02-28,
2014-03-16,
2014-04-01,
2014-05-03,
2014-05-19,16.410913310241362
2014-06-04,21.381182892978746
2014-06-20,20.86448438258789
2014-07-06,27.946927756027534
2014-07-22,
2014-08-07,27.27628539971887
2014-08-23,26.375144882439205
2014-09-08,
2014-10-10,19.80433269599434
2014-10-26,
2014-11-11,12.152763692387062
2014-12-13,
2014-12-29,3.8265318033859352
2015-01-14,
2015-01-30,7.091274557499437
2015-02-15,
2015-03-19,
2015-04-04,9.612805280000012
2015-04-20,19.53648676960693
2015-05-06,
2015-06-07,25.91693261942344
2015-06-23,25.598734512572978
2015-07-09,28.358515675045407
2015-08-10,22.140397133354867
2015-08-26,26.185049789714576
2015-09-11,22.495965017581415
2015-09-27,19.60432264747737
2015-10-13,19.722239899293886
2015-10-29,
2015-11-14,
2015-11-30,
2015-12-16,
2016-01-01,4.671025818304039
2016-02-02,
2016-02-18,
2016-03-05,
2016-04-06,
2016-04-22,
2016-05-08,
2016-05-24,20.73476610851494
2016-06-25,23.08382329569844
2016-07-11,21.75948483086929
2016-07-27,25.9533032461037
2016-08-12,26.88582988856863
2016-08-28,
2016-09-13,21.814916312829403
2016-09-29,
2016-10-31,
2016-11-16,8.252558982499998
2016-12-18,-0.16408711405330909
2017-01-03,3.189764076055807
2017-01-19,3.0734468232186805
2017-02-20,
2017-03-24,
2017-04-09,
2017-05-11,
2017-05-27,24.061264917822616
2017-06-12,
2017-06-28,
2017-07-14,27.21740519892112
2017-07-30,27.01221197375405
2017-08-15,24.34562602319348
2017-08-31,25.071852765960493
2017-09-16,
2017-10-02,18.207707271590223
2017-10-18,
2017-11-03,
2017-11-19,
2017-12-05,7.493474880735126
2017-12-21,
2018-01-06,
2018-01-22,
2018-02-07,3.786278352626395
2018-02-23,
2018-03-11,10.65912553939889
2018-03-27,
2018-04-12,
2018-04-28,15.270269895021974
2018-05-14,23.586343630443263
2018-05-30,
2018-06-15,
2018-07-01,
2018-07-17,28.3963128622803
2018-08-02,
2018-08-18,26.143568643369225
2018-09-03,21.99010371183534
2018-09-19,21.129270106062098
2018-10-21,16.06542283582878
2018-11-06,11.276482675920452
2018-12-08,
2018-12-24,
2019-01-09,
2019-01-25,
2019-02-10,3.2536775572896612
2019-02-26,2.050348364071623
2019-03-14,3.96109277031462
2019-03-30,13.077424503675267
2019-04-15,
2019-05-01,18.41628136831616
2019-05-17,
2019-06-02,22.224768540558603
2019-06-18,23.17085429306516
2019-07-04,22.63536954561255
2019-07-20,25.066960757290488
2019-08-05,29.176130358322116
2019-08-21,
2019-09-06,24.864685795072564
2019-10-08,15.357054803358992
2019-10-24,14.844268310873161
2019-11-09,
2019-11-25,8.489089153339698
2020-02-13,
2020-02-29,
2020-03-16,9.517063929669945
2020-04-01,
2020-04-17,17.263017274468012
2020-05-03,
2020-06-04,
2020-07-06,22.622841861087775
2020-07-22,
2020-08-07,26.222250649729837
2020-08-23,25.679372147607435
2020-09-08,23.01468272302892
2020-09-24,
2020-10-10,
2020-10-26,12.609259241013586
2020-11-11,8.225917321943832
2020-11-27,3.0529009062248984
2020-12-29,
2021-01-14,3.1277596550099656
2021-02-15,
2021-03-03,8.28053571218653
2021-03-19,
2021-04-04,
2021-04-20,17.730629255546795
2021-05-06,
2021-05-22,
2021-06-07,
2021-06-23,26.68252514025871
2021-07-09,27.191483563271866
2021-07-25,27.794366724069903
2021-08-10,23.802605244436837
2021-08-26,
2021-09-11,22.574718545655543
2021-10-13,
2021-10-29,8.42726979521848
2021-11-04,
2021-11-09,11.567067893465302
2021-11-14,
2021-11-24,
2021-11-30,
2021-12-08,9.14540732132554
2021-12-16,
2022-01-01,
2022-01-09,5.748185921082742
2022-01-17,
2022-01-25,5.9334785196208815
2022-02-10,
2022-02-18,7.65566806854463
2022-02-26,
2022-03-06,
2022-03-22,10.959545372000019
2022-03-30,
2022-04-07,13.861995862875176
2022-04-15,10.842172774965544
2022-04-23,14.085040273663704
2022-05-01,
2022-05-09,10.776647956588342
2022-05-17,
2022-05-25,
2022-06-02,
2022-06-18,
2022-06-26,26.625581268677195
2022-07-04,24.633795807688504
2022-07-12,28.98968338899065
2022-07-20,27.916077329930424
2022-07-28,30.314424804753433
2022-08-05,27.53630054962616
2022-08-13,25.793297983264395
2022-08-21,26.13507349951209
2022-08-29,25.607274171802498
2022-09-06,25.605225312225052
2022-09-14,21.283282683300428
2022-09-22,
2022-09-30,
2022-10-08,21.255642623075666
2022-10-16,21.403405209443772
2022-10-24,
2022-11-01,
2022-11-09,9.973161935875105
2022-11-17,5.98513757179224
2022-11-25,
2022-12-03,
2022-12-11,
2022-12-19,
2023-01-04,
2023-01-20,
2023-02-05,
2023-02-13,
2023-02-21,
2023-03-01,4.52932698942292
2023-03-17,6.993707838729421
2023-03-25,5.563923580397349
2023-04-02,
2023-04-18,
2023-04-26,
2023-05-12,21.679362765661956
2023-05-20,23.89066587972652
2023-05-28,20.695223844402925
2023-06-05,23.48716345790258
2023-06-13,
2023-06-21,23.373166983223665
2023-06-29,26.721214351761073
2023-07-07,
2023-07-15,29.161524140570133
2023-07-23,27.829663722956816
2023-07-31,26.4933773792036
2023-08-08,27.93246144754053
2023-08-16,29.885514537055773
2023-08-24,25.51641213940886
2023-09-01,24.21392228015608
2023-09-09,24.345165759033925
2023-09-17,18.91370575824909
2023-10-03,
2023-10-19,
2023-10-27,13.43539849028542
