date,temp(C)
2013-03-20,
2013-03-25,-3.604676373618914
2013-03-30,3.37898680177926
2013-04-14,
2013-04-23,9.639036322904195
2013-04-30,
2013-05-16,
2013-05-25,10.787413364870996
2013-06-01,11.291100232770313
2013-06-10,18.537520222269208
2013-06-17,19.585051081982034
2013-07-03,24.034941642032653
2013-07-12,20.23007825579798
2013-07-19,24.601766009458913
2013-07-28,21.53993214274054
2013-08-04,22.6704254092569
2013-08-13,22.715992072356848
2013-08-20,22.850454390953374
2013-08-29,
2013-09-05,
2013-09-14,22.056559318471898
2013-09-21,12.975137998143625
2013-09-30,
2013-10-07,
2013-10-16,12.446251025419137
2013-10-23,12.324929377229335
2013-11-01,7.495671862556105
2013-11-08,
2013-11-17,
2013-11-24,5.187730911223143
2013-12-03,
2013-12-10,
2013-12-19,-3.998101208295278
2013-12-26,-2.3174320235180867
2014-01-04,-1.174785130895756
2014-01-11,
2014-01-20,-1.3557728058830876
2014-01-27,
2014-02-05,-3.885281781307097
2014-02-12,
2014-02-21,0.7712864240787074
2014-02-28,
2014-03-09,
2014-03-16,
2014-03-25,
2014-04-01,
2014-04-10,7.905017250589616
2014-04-26,5.806838474973781
2014-05-03,
2014-05-12,10.187271411092357
2014-05-19,
2014-05-28,
2014-06-04,18.46173527552805
2014-06-20,15.916072499916265
2014-06-29,
2014-07-06,22.8939332304857
2014-07-15,25.644639294741193
2014-07-22,
2014-07-31,24.844260689281825
2014-08-07,22.882830105992088
2014-08-16,16.93716282244179
2014-08-23,17.88028928628567
2014-09-01,19.57697545514471
2014-09-08,
2014-09-17,
2014-10-03,15.937627342426543
2014-10-10,16.349679370105616
2014-10-19,14.855038896730695
2014-10-26,
2014-11-04,
2014-11-11,7.904132222104437
2014-12-06,3.2842686111618726
2014-12-13,3.737894220255189
2014-12-22,3.9420850980529174
2014-12-29,
2015-01-07,-0.02954076779339041
2015-01-14,
2015-01-23,
2015-01-30,2.4936644946706985
2015-02-08,
2015-02-15,
2015-02-24,4.6771886623933785
2015-03-12,5.338663365842297
2015-03-19,
2015-03-28,5.786921529256898
2015-04-04,6.923259815046329
2015-04-13,8.162957947071861
2015-04-20,14.277845395213406
2015-04-29,9.87657628064968
2015-05-06,
2015-05-15,
2015-05-31,
2015-06-07,24.95892447677838
2015-06-16,14.861991004655287
2015-06-23,15.775996702175354
2015-07-02,27.563801907435533
2015-07-09,23.04846201643029
2015-07-18,22.881964238834698
2015-08-03,
2015-08-10,
2015-08-19,22.963157671274914
2015-08-26,21.549937571494475
2015-09-04,
2015-09-11,18.766949494560244
2015-09-20,17.695786584009795
2015-09-27,16.119017483824734
2015-10-06,
2015-10-13,15.790323488853982
2015-10-22,13.762945109541848
2015-10-29,
2015-11-07,
2015-11-14,
2015-11-23,6.190274940993413
2015-11-30,2.5191128657430126
2015-12-09,
2015-12-16,
2015-12-25,
2016-01-01,
2016-01-10,
2016-01-26,
2016-02-02,-1.0891551728076878
2016-02-18,
2016-02-27,
2016-03-05,
2016-03-14,
2016-03-30,6.460081944001554
2016-04-06,10.507430522973152
2016-04-15,
2016-04-22,
2016-05-01,12.170269032493781
2016-05-08,13.987479573017978
2016-05-17,16.2399075306773
2016-05-24,
2016-06-02,
2016-06-18,
2016-06-25,19.71668642446356
2016-07-04,19.6606770327867
2016-07-11,
2016-07-20,22.809728796278907
2016-07-27,25.099405541453716
2016-08-05,22.503284469123084
2016-08-12,22.442787507506427
2016-08-21,22.436530808705804
2016-08-28,8.187381545961761
2016-09-13,17.136660495421218
2016-09-22,
2016-09-29,10.65837770043835
2016-10-08,14.726302119211404
2016-10-24,
2016-10-31,
2016-11-09,
2016-11-16,
2016-11-25,
2016-12-18,-3.552574898742254
2016-12-27,
2017-01-03,-11.932719014372374
2017-01-12,
2017-01-19,
2017-01-28,
2017-02-13,-0.13008972263650265
2017-02-20,
2017-03-01,
2017-03-24,
2017-04-02,
2017-04-09,
2017-04-18,
2017-05-04,10.662829399071887
2017-05-11,
2017-05-20,12.69755372896929
2017-05-27,19.021218206702535
2017-06-05,17.612345690345865
2017-06-12,
2017-06-21,19.01758300891674
2017-06-28,20.606849487982174
2017-07-07,23.228789240831055
2017-07-14,24.279844993113905
2017-07-23,24.874861269869516
2017-07-30,23.621838901811895
2017-08-08,25.77770190488229
2017-08-15,22.03576768767712
2017-08-24,19.822843820574686
2017-08-31,21.63507480239077
2017-09-09,
2017-09-16,
2017-09-25,
2017-10-02,
2017-10-11,
2017-10-18,
2017-10-27,10.881403070823353
2017-11-03,
2017-11-12,
2017-11-19,0.8729646109490341
2017-12-05,3.547879558330234
2017-12-14,
2017-12-21,-2.5134457275719084
2017-12-30,
2018-01-06,0.641660870922485
2018-01-15,
2018-01-22,
2018-01-31,
2018-02-07,
2018-02-16,
2018-02-23,
2018-03-04,
2018-03-11,2.956035151098826
2018-03-20,3.5189829943929696
2018-03-27,
2018-04-12,
2018-04-21,6.085173765317234
2018-04-28,3.9796825418305333
2018-05-07,15.955160829096263
2018-05-14,16.220582256063786
2018-05-23,
2018-05-30,12.250416393164073
2018-06-08,14.712522812479303
2018-06-15,16.586885511472254
2018-06-24,20.78401778880275
2018-07-01,20.203093492521408
2018-07-10,
2018-07-17,24.20335699112596
2018-07-26,24.004529000433262
2018-08-02,23.325644198652473
2018-08-11,21.582772108811096
2018-08-18,22.937403655820948
2018-08-27,18.022325563925165
2018-09-03,19.74770247993157
2018-09-12,
2018-09-19,16.017914888004064
2018-09-28,16.092190826707665
2018-10-14,12.08252931065083
2018-10-21,12.467422785811635
2018-10-30,9.623450408558526
2018-11-06,
2018-11-15,7.806769656375529
2018-12-01,
2018-12-08,
2018-12-17,
2018-12-24,
2019-01-02,-0.5600008556259505
2019-01-09,
2019-01-18,
2019-01-25,
2019-02-10,-2.242797154653444
2019-02-19,
2019-02-26,
2019-03-07,
2019-03-14,
2019-03-23,
2019-03-30,4.523599229390032
2019-04-15,
2019-04-24,9.347790783277366
2019-05-01,9.236550054064175
2019-05-10,16.842874099702478
2019-05-17,
2019-05-26,
2019-06-02,19.22209086504579
2019-06-11,19.12066847585233
2019-06-18,20.002107546718758
2019-06-27,9.956036419792134
2019-07-04,15.891474535605647
2019-07-13,
2019-07-20,20.436659591532056
2019-07-29,22.172700355873026
2019-08-05,24.327721367859837
2019-08-14,23.046430694539037
2019-08-21,
