date,temp(C)
2021-11-04,
2021-11-09,
2021-11-14,
2021-12-08,
2021-12-17,
2022-01-02,
2022-01-09,5.632899983505149
2022-01-18,1.8961716280000158
2022-01-25,4.581304554470879
2022-02-03,6.337064520302463
2022-02-10,7.39864753284422
2022-02-19,6.809148454963252
2022-02-26,
2022-03-07,7.792370540245865
2022-03-23,
2022-03-30,
2022-04-08,9.643213701775284
2022-04-15,10.438393884683258
2022-04-24,12.461530372967006
2022-05-01,12.522950182908096
2022-05-10,9.774963970652921
2022-05-17,8.241571903977253
2022-05-26,
2022-06-02,10.590790788721536
2022-06-11,
2022-06-18,12.314886967773267
2022-06-27,22.02657071949925
2022-07-04,20.350257708354274
2022-07-13,22.071758506452962
2022-07-20,24.674403482955487
2022-07-29,27.31126648513625
2022-08-05,25.106115997398764
2022-08-14,24.551282912309446
2022-08-21,24.781113592456247
2022-08-30,25.723762883835864
2022-09-06,23.585071232325053
2022-09-15,
2022-09-22,19.79101727042254
2022-10-01,20.166503569286885
2022-10-08,18.278178277105695
2022-10-17,15.012722755876306
2022-11-09,11.919782464765232
2022-11-18,9.732281972437491
2022-11-25,5.313851554041099
2022-12-04,
2022-12-11,
2023-01-05,
2023-01-21,
2023-01-28,
2023-02-06,
2023-02-13,
2023-02-22,
2023-03-01,4.85134883815115
2023-03-17,7.422328811981555
2023-03-26,6.731287766797692
2023-04-02,
2023-04-11,3.4726700294710913
2023-04-18,6.838422989171098
2023-04-27,12.27777614411951
2023-05-13,16.86893302231239
2023-05-20,18.836722487269903
2023-05-29,19.388049864122884
2023-06-05,21.132493533445952
2023-06-14,17.75859271045228
2023-06-21,20.316914168282068
2023-06-30,24.244492404248252
2023-07-07,22.69153734021071
2023-07-16,26.588705148506193
2023-07-23,25.366515039056754
2023-08-01,24.113776533359466
2023-08-08,23.993664860322536
2023-08-17,
2023-08-24,21.962070071941177
2023-09-02,20.46894162257982
2023-09-09,21.509816290435705
2023-09-18,21.358905940579692
2023-10-04,18.215241456733246
2023-10-20,10.079745402023011
2023-10-27,11.783355811743496
