Project,Date,Outflow (kcfs),Spill (kcfs),Spill Percent (%),Inflow (kcfs),Temp (Scroll Case) (C),Temperature (C),Barometric Pressure (mmHg),Dissolved Gas (mmHg),Dissolved Gas Percent (%),Turbidity (ft),Tailwater Elevation (ft)
DWQI,1999-01-01,1.3,0.0,0.0,7.0,,5.91,744.75,777.13,104.35,,971.03
DWQI,1999-01-02,1.3,0.0,0.0,5.6,,5.82,748.04,778.96,104.13,,970.97
DWQI,1999-01-03,1.3,0.0,0.0,5.0,,5.69,748.23,780.13,104.26,,970.97
DWQI,1999-01-04,1.3,0.0,0.0,4.3,,5.63,744.75,778.79,104.57,,970.96
DWQI,1999-01-05,1.3,0.0,0.0,4.0,,5.64,742.03,778.17,104.87,,970.9
DWQI,1999-01-06,1.3,0.0,0.0,3.6,,5.63,737.37,776.79,105.35,,970.92
DWQI,1999-01-07,8.51,0.0,0.0,3.3,,5.45,738.18,723.88,98.07,,977.5
DWQI,1999-01-08,5.72,0.0,0.0,3.6,,5.39,744.33,710.0,95.39,,975.55
DWQI,1999-01-09,5.64,0.0,0.0,3.1,,5.4,743.23,709.14,95.41,,975.38
DWQI,1999-01-10,5.72,0.0,0.0,4.1,,5.4,739.12,707.92,95.78,,975.82
DWQI,1999-01-11,7.58,0.0,0.0,5.1,,5.38,732.79,707.0,96.48,,977.32
DWQI,1999-01-12,8.04,0.0,0.0,4.4,,5.3,737.13,707.46,95.97,,977.69
DWQI,1999-01-13,8.07,0.0,0.0,4.0,,5.26,742.43,709.13,95.51,,977.68
DWQI,1999-01-14,8.07,0.0,0.0,4.8,,5.3,735.96,707.83,96.17,,977.67
DWQI,1999-01-15,8.08,0.0,0.0,10.7,,5.2,733.38,705.75,96.23,,977.7
DWQI,1999-01-16,8.08,0.0,0.0,8.1,,5.2,732.9,706.0,96.33,,977.69
DWQI,1999-01-17,8.08,0.0,0.0,7.1,,,,,,,977.7
DWQI,1999-01-18,8.1,0.0,0.0,6.0,,5.1,732.7,706.0,96.36,,977.68
DWQI,1999-01-19,9.8,0.0,0.0,5.6,,5.1,731.16,706.42,96.62,,978.7
DWQI,1999-01-20,10.45,0.0,0.0,5.1,,5.01,726.73,707.0,97.29,,979.06
DWQI,1999-01-21,10.5,0.0,0.0,5.3,,4.98,731.7,707.0,96.63,,979.07
DWQI,1999-01-22,10.54,0.0,0.0,5.1,,4.94,732.74,706.67,96.45,,979.08
DWQI,1999-01-23,10.54,0.0,0.0,4.8,,4.87,731.45,705.33,96.43,,979.07
DWQI,1999-01-24,10.55,0.0,0.0,4.2,,4.67,743.83,708.54,95.26,,979.1
DWQI,1999-01-25,10.59,0.0,0.0,3.8,,4.58,738.57,709.0,96.0,,979.11
DWQI,1999-01-26,10.57,0.0,0.0,3.2,,4.48,736.55,709.0,96.26,,979.01
DWQI,1999-01-27,6.6,0.0,0.0,3.5,,4.45,742.08,708.83,95.52,,978.62
DWQI,1999-01-28,5.46,0.0,0.0,3.1,,4.38,736.79,709.05,96.21,,978.76
DWQI,1999-01-29,6.85,0.0,0.0,3.0,,4.45,736.09,707.22,96.08,,979.11
DWQI,1999-01-30,8.24,0.0,0.0,2.6,,4.75,734.99,704.63,95.87,,979.12
DWQI,1999-01-31,9.62,0.0,0.0,2.5,,4.74,733.35,704.33,96.04,,979.16
DWQI,1999-02-01,10.68,0.0,0.0,2.4,,4.67,741.86,707.83,95.41,,979.15
DWQI,1999-02-02,10.74,0.0,0.0,3.0,,4.52,734.5,704.63,95.93,,979.21
DWQI,1999-02-03,10.74,0.0,0.0,2.8,,4.48,734.23,704.21,95.91,,979.21
DWQI,1999-02-04,10.74,0.0,0.0,2.3,,4.58,729.22,703.58,96.49,,979.22
DWQI,1999-02-05,10.74,0.0,0.0,2.4,,4.52,732.7,703.67,96.04,,979.21
DWQI,1999-02-06,10.74,0.0,0.0,2.6,,4.48,724.81,701.79,96.83,,979.19
DWQI,1999-02-07,10.69,0.0,0.0,3.5,,4.47,723.61,702.21,97.04,,979.15
DWQI,1999-02-08,10.68,0.0,0.0,3.4,,4.46,731.2,703.38,96.2,,979.17
DWQI,1999-02-09,10.65,0.0,0.0,3.0,,4.47,728.61,701.92,96.34,,979.18
DWQI,1999-02-10,10.65,0.0,0.0,2.7,,4.36,740.11,702.79,94.96,,979.17
DWQI,1999-02-11,10.65,0.0,0.0,2.7,,4.32,749.11,703.08,93.86,,979.16
DWQI,1999-02-12,10.65,0.0,0.0,2.3,,4.36,744.93,703.04,94.38,,979.14
DWQI,1999-02-13,10.65,0.0,0.0,2.6,,4.4,740.67,704.52,95.12,,979.11
DWQI,1999-02-14,10.64,0.0,0.0,2.9,,4.43,738.52,703.32,95.23,,979.11
DWQI,1999-02-15,10.64,0.0,0.0,2.6,,4.42,739.06,703.63,95.21,,979.07
DWQI,1999-02-16,10.63,0.0,0.0,2.7,,4.46,733.4,702.96,95.85,,979.05
DWQI,1999-02-17,10.61,0.0,0.0,2.8,,4.49,733.42,703.04,95.86,,979.06
DWQI,1999-02-18,10.6,0.0,0.0,3.1,,4.46,731.18,702.67,96.1,,979.05
DWQI,1999-02-19,10.64,0.0,0.0,3.4,,4.46,737.99,703.83,95.38,,979.06
DWQI,1999-02-20,10.58,0.0,0.0,3.0,,4.44,742.36,703.9,94.82,,979.04
DWQI,1999-02-21,10.62,0.0,0.0,3.3,,4.47,734.32,702.46,95.66,,979.05
DWQI,1999-02-22,10.61,0.0,0.0,3.2,,4.42,737.35,702.71,95.3,,979.03
DWQI,1999-02-23,10.6,0.0,0.0,4.8,,4.5,734.01,704.35,95.96,,979.01
DWQI,1999-02-24,10.58,0.0,0.0,10.8,,4.41,731.55,704.22,96.26,,979.0
DWQI,1999-02-25,10.57,0.0,0.0,11.2,,4.3,729.62,705.06,96.63,,979.02
DWQI,1999-02-26,10.6,0.0,0.0,8.9,,4.3,738.42,705.58,95.61,,979.01
DWQI,1999-02-27,10.58,0.0,0.0,7.5,,4.3,737.13,705.52,95.71,,979.01
DWQI,1999-02-28,10.6,0.0,0.0,10.2,,4.3,734.86,704.71,95.9,,979.02
DWQI,1999-03-01,10.57,0.0,0.0,11.7,,4.3,740.47,705.13,95.23,,979.06
DWQI,1999-03-02,10.58,0.0,0.0,9.5,,4.28,736.43,704.25,95.64,,979.02
DWQI,1999-03-03,10.59,0.0,0.0,7.9,,4.31,729.25,703.75,96.5,,979.02
DWQI,1999-03-04,13.99,3.49,24.93,7.3,,4.35,735.07,768.79,104.59,,980.91
DWQI,1999-03-05,14.17,3.6,25.4,6.6,,4.35,740.52,773.92,104.51,,980.92
DWQI,1999-03-06,14.12,3.55,25.12,5.6,,4.34,736.23,773.13,105.01,,980.88
DWQI,1999-03-07,14.09,3.52,24.99,5.6,,4.34,732.59,771.08,105.25,,980.87
DWQI,1999-03-08,14.13,3.51,24.87,5.2,,4.36,731.08,770.67,105.41,,980.85
DWQI,1999-03-09,14.26,3.5,24.55,5.2,,4.37,732.0,770.37,105.24,,980.83
DWQI,1999-03-10,14.18,3.43,24.15,5.0,,4.33,738.35,772.33,104.6,,980.82
DWQI,1999-03-11,14.04,3.42,24.36,4.5,,4.32,737.33,771.17,104.59,,980.8
DWQI,1999-03-12,13.99,3.4,24.33,4.5,,4.4,737.1,771.0,104.6,,980.75
DWQI,1999-03-13,13.98,3.4,24.36,4.5,,,,,,,980.75
DWQI,1999-03-14,13.94,3.4,24.39,5.4,,4.4,731.5,770.0,105.26,,980.7
DWQI,1999-03-15,13.88,3.4,24.5,6.6,,4.42,729.85,770.25,105.54,,980.7
DWQI,1999-03-16,13.85,3.39,24.48,7.7,,4.36,734.8,772.38,105.11,,980.73
DWQI,1999-03-17,13.83,3.33,24.04,6.5,,4.32,737.25,774.09,105.0,,980.71
DWQI,1999-03-18,13.79,3.32,24.09,6.2,,4.4,735.99,773.71,105.12,,980.73
DWQI,1999-03-19,14.02,3.59,25.59,7.0,,4.44,737.76,779.76,105.69,,980.87
DWQI,1999-03-20,14.03,3.62,25.8,8.9,,4.45,733.29,779.07,106.25,,980.95
DWQI,1999-03-21,14.0,3.62,25.86,12.1,,4.45,734.0,779.62,106.21,,980.95
DWQI,1999-03-22,13.99,3.62,25.88,14.4,,4.41,736.48,781.44,106.11,,980.95
DWQI,1999-03-23,13.98,3.62,25.9,14.4,,4.53,733.21,782.0,106.58,,980.94
DWQI,1999-03-24,13.97,3.61,25.87,14.0,,4.52,730.8,781.11,106.88,,980.96
DWQI,1999-03-25,13.98,3.62,25.89,14.4,,4.54,729.43,780.71,107.03,,980.9
DWQI,1999-03-26,13.98,3.62,25.91,17.4,,4.38,730.53,780.31,106.81,,980.89
DWQI,1999-03-27,13.97,3.62,25.92,14.3,,4.32,734.49,780.45,106.26,,980.89
DWQI,1999-03-28,15.18,4.82,31.72,11.3,,4.27,737.67,800.83,108.56,,981.62
DWQI,1999-03-29,15.93,5.58,35.04,9.8,,4.37,733.05,818.79,111.46,,982.08
DWQI,1999-03-30,16.0,5.66,35.38,8.5,,4.16,730.35,821.17,112.43,,982.11
DWQI,1999-03-31,15.96,5.62,35.21,7.6,,4.17,730.28,820.93,112.41,,982.12
DWQI,1999-04-01,15.96,5.62,35.21,7.0,,4.33,734.79,824.0,112.14,,982.08
DWQI,1999-04-02,16.02,5.64,35.19,6.4,,4.36,735.36,825.0,112.19,,982.09
DWQI,1999-04-03,12.28,1.95,15.85,6.8,,4.4,728.97,820.67,112.58,,980.01
DWQI,1999-04-04,10.28,0.0,0.0,5.2,,4.29,732.09,726.42,99.84,,979.0
DWQI,1999-04-05,10.34,0.0,0.0,5.6,,4.25,730.85,720.13,98.53,,979.04
DWQI,1999-04-06,10.34,0.0,0.0,5.1,,4.4,735.16,726.17,98.75,,979.05
DWQI,1999-04-07,10.41,0.0,0.0,5.0,,4.37,735.61,727.92,98.95,,979.09
DWQI,1999-04-08,9.92,0.0,0.0,5.8,,4.54,732.37,729.22,99.54,,978.69
DWQI,1999-04-09,8.02,0.0,0.0,5.9,,4.39,736.58,722.68,98.16,,977.5
DWQI,1999-04-10,5.75,0.0,0.0,5.3,,4.42,738.79,722.76,97.87,,975.78
DWQI,1999-04-11,4.72,0.0,0.0,5.4,,4.79,737.93,732.33,99.24,,975.06
DWQI,1999-04-12,5.32,0.0,0.0,6.1,,5.18,737.74,741.94,100.58,,975.51
DWQI,1999-04-13,7.01,0.0,0.0,6.9,,5.09,742.87,740.29,99.65,,976.64
DWQI,1999-04-14,7.58,0.0,0.0,7.1,,4.93,749.51,738.17,98.49,,976.99
DWQI,1999-04-15,8.18,0.0,0.0,7.5,,5.07,747.19,741.13,99.19,,977.44
DWQI,1999-04-16,7.82,0.0,0.0,8.1,,5.35,741.35,745.46,100.56,,977.18
DWQI,1999-04-17,8.31,0.0,0.0,9.6,,5.6,737.62,748.38,101.46,,977.49
DWQI,1999-04-18,10.24,0.0,0.0,11.7,,5.68,737.99,749.46,101.55,,978.83
DWQI,1999-04-19,10.25,0.0,0.0,16.2,,5.36,737.99,746.5,101.15,,978.9
DWQI,1999-04-20,10.31,0.0,0.0,18.1,,5.26,736.4,746.0,101.3,,979.12
DWQI,1999-04-21,12.61,2.29,18.13,16.2,,4.96,734.38,776.92,105.8,,980.45
DWQI,1999-04-22,14.05,3.62,25.78,13.3,,5.23,737.9,800.54,108.49,,981.11
DWQI,1999-04-23,14.06,3.62,25.76,13.2,,5.61,738.55,803.46,108.79,,981.09
DWQI,1999-04-24,14.06,3.62,25.75,14.9,,5.68,733.63,801.79,109.29,,981.1
DWQI,1999-04-25,14.05,3.62,25.78,16.8,,5.84,731.15,802.04,109.7,,981.08
DWQI,1999-04-26,14.02,3.67,26.19,19.6,,5.63,733.79,802.5,109.36,,981.11
DWQI,1999-04-27,14.04,3.7,26.35,18.3,,5.63,734.74,802.38,109.21,,981.14
DWQI,1999-04-28,14.06,3.72,26.43,15.8,,5.5,736.46,800.71,108.72,,981.13
DWQI,1999-04-29,13.47,3.08,22.89,13.9,,5.31,737.3,790.71,107.24,,980.73
DWQI,1999-04-30,10.7,0.48,4.52,13.1,,5.95,735.37,755.13,102.69,,979.36
DWQI,1999-05-01,14.05,3.7,26.34,14.4,,5.95,730.53,799.67,109.46,,981.11
DWQI,1999-05-02,14.05,3.7,26.33,14.7,,6.08,726.67,797.63,109.77,,981.13
DWQI,1999-05-03,14.04,3.7,26.35,14.8,,6.18,722.59,796.13,110.18,,981.12
DWQI,1999-05-04,10.39,0.13,1.28,14.1,,6.56,732.13,755.17,103.15,,979.04
