date,chum,sockeye,steelhead,lamprey,avg_temp(C),pink,chinook,shad,coho
1969-04-01,,,141.0,,,,34.0,,
1969-04-02,,,195.0,3.0,,,26.0,,
1969-04-03,,,181.0,1.0,,,26.0,,
1969-04-04,,,176.0,,,,16.0,,
1969-04-05,,,172.0,1.0,,,8.0,,
1969-04-06,,,151.0,3.0,,,20.0,,
1969-04-07,,,124.0,9.0,,,24.0,,
1969-04-08,,,73.0,1.0,,,7.0,,
1969-04-09,,,74.0,3.0,,,4.0,,
1969-04-10,,,76.0,19.0,,,3.0,,
1969-04-11,,,129.0,7.0,,,12.0,,
1969-04-12,,,158.0,20.0,,,15.0,,
1969-04-13,,,114.0,11.0,,,11.0,,
1969-04-14,,,56.0,,,,6.0,,
1969-04-15,,,85.0,23.0,,,19.0,,
1969-04-16,,,87.0,10.0,,,17.0,,
1969-04-17,,,76.0,22.0,,,20.0,,
1969-04-18,,,70.0,16.0,,,27.0,,
1969-04-19,,,101.0,51.0,,,36.0,,
1969-04-20,,,127.0,77.0,,,80.0,,
1969-04-21,,,138.0,79.0,,,78.0,,
1969-04-22,,,138.0,33.0,,,99.0,,
1969-04-23,,,171.0,30.0,,,147.0,,
1969-04-24,,,144.0,30.0,,,164.0,,
1969-04-25,,,155.0,25.0,,,273.0,,
1969-04-26,,,184.0,41.0,,,262.0,,
1969-04-27,,,171.0,12.0,,,207.0,,
1969-04-28,,,110.0,42.0,,,137.0,,
1969-04-29,,,160.0,17.0,,,732.0,,
1969-04-30,,,249.0,90.0,,,1756.0,,
1969-05-01,,,130.0,12.0,,,1043.0,,
1969-05-02,,,67.0,7.0,,,322.0,,
1969-05-03,,,64.0,,,,780.0,,
1969-05-04,,,112.0,8.0,,,1653.0,,
1969-05-05,,,121.0,15.0,,,2203.0,,
1969-05-06,,,195.0,73.0,,,2995.0,,
1969-05-07,,,255.0,134.0,,,5207.0,,
1969-05-08,,,223.0,367.0,,,3839.0,,
1969-05-09,,,258.0,457.0,,,4160.0,,
1969-05-10,,,254.0,830.0,,,5679.0,,
1969-05-11,,,253.0,1040.0,,,6096.0,,
1969-05-12,,,189.0,1141.0,,,4574.0,,
1969-05-13,,,174.0,952.0,,,4435.0,1.0,
1969-05-14,,,171.0,308.0,,,3968.0,,
1969-05-15,,,208.0,367.0,,,2660.0,,
1969-05-16,,,127.0,66.0,,,2344.0,,
1969-05-17,,,129.0,95.0,,,1302.0,,
1969-05-18,,,85.0,40.0,,,1057.0,,
1969-05-19,,,105.0,75.0,,,1431.0,,
1969-05-20,,,73.0,84.0,,,1050.0,,
1969-05-21,,,61.0,58.0,,,1085.0,,
1969-05-22,,,78.0,106.0,,,1325.0,,
1969-05-23,,,73.0,251.0,,,2051.0,,
1969-05-24,,,70.0,238.0,,,2619.0,,
1969-05-25,,,67.0,297.0,,,1962.0,,
1969-05-26,,,32.0,101.0,,,1238.0,,
1969-05-27,,,24.0,63.0,,,903.0,,
1969-05-28,,,25.0,44.0,,,993.0,,
1969-05-29,,,27.0,39.0,,,1545.0,,
1969-05-30,,,27.0,42.0,,,1280.0,1.0,
1969-05-31,,,14.0,78.0,,,1167.0,,
1969-06-01,,,20.0,32.0,,,1122.0,3.0,
1969-06-02,,1.0,10.0,56.0,,,657.0,8.0,
1969-06-03,,1.0,14.0,134.0,,,875.0,10.0,
1969-06-04,,2.0,32.0,86.0,,,978.0,13.0,
1969-06-05,,9.0,12.0,49.0,,,854.0,31.0,
1969-06-06,,3.0,16.0,52.0,,,1097.0,122.0,
1969-06-07,,6.0,10.0,177.0,,,1033.0,148.0,
1969-06-08,,11.0,16.0,58.0,,,1172.0,679.0,
1969-06-09,,17.0,12.0,243.0,,,961.0,771.0,
1969-06-10,,10.0,2.0,158.0,,,579.0,1571.0,
1969-06-11,,18.0,10.0,189.0,,,1461.0,2949.0,
1969-06-12,,8.0,11.0,317.0,,,639.0,431.0,
1969-06-13,,,10.0,278.0,,,487.0,276.0,
1969-06-14,,6.0,8.0,152.0,,,1645.0,326.0,
1969-06-15,,20.0,14.0,165.0,,,844.0,741.0,
1969-06-16,,53.0,18.0,106.0,,,947.0,1625.0,
1969-06-17,,155.0,35.0,165.0,,,1316.0,1700.0,
1969-06-18,,285.0,22.0,221.0,,,1137.0,1755.0,
1969-06-19,,450.0,23.0,128.0,,,1748.0,1294.0,
1969-06-20,,804.0,28.0,190.0,,,1655.0,7422.0,
1969-06-21,,853.0,23.0,240.0,,,1960.0,6352.0,
