param_n_estimators,mean_test_score,delta
10,2.123626622610709,
20,1.9037499455074873,-0.22
30,1.8699195090083682,-0.034
40,1.8466497096943193,-0.023
50,1.8207480406035959,-0.026
75,1.8076180163123743,-0.013
100,1.7887857954380366,-0.019
125,1.7775049282586592,-0.011
150,1.775621358833195,-0.002
175,1.7683001346703815,-0.007
200,1.7624092987605833,-0.006
250,1.760147113044291,-0.002
300,1.757097941139574,-0.003
350,1.7563242181648868,-0.001
400,1.7597396462040058,0.003
450,1.7601652485398143,0.0
500,1.7576785186835528,-0.002
1000,1.7553710093850736,-0.002
