units,learning_rate,activation,batch_size,Score
48,0.0001,linear,64,8.902122497558594
8,0.0001,linear,8,8.964908599853516
64,1e-05,linear,8,9.080472946166992
8,0.0001,relu,32,9.08188533782959
48,0.0001,linear,8,9.12381362915039
8,1e-05,relu,8,9.144051551818848
24,0.0001,linear,32,9.14480972290039
8,0.0001,linear,64,9.163752555847168
40,0.001,linear,32,9.18331527709961
32,0.01,linear,16,9.190479278564453
8,0.0001,linear,16,9.197925567626953
16,0.0001,linear,64,9.210493087768555
64,0.0001,linear,64,9.215073585510254
24,0.001,linear,8,9.216394424438477
64,0.0001,relu,8,9.227941513061523
8,0.001,relu,64,9.248321533203125
24,0.001,relu,8,9.25680923461914
48,1e-05,relu,16,9.259490013122559
8,0.0001,relu,64,9.260923385620117
64,1e-05,relu,16,9.268506050109863
64,0.0001,linear,8,9.270591735839844
24,0.0001,relu,32,9.274504661560059
56,0.0001,relu,8,9.293012619018555
40,0.0001,relu,64,9.296892166137695
32,0.0001,relu,64,9.299653053283691
32,1e-05,linear,16,9.301575660705566
24,0.001,linear,16,9.313302993774414
24,0.0001,relu,64,9.332480430603027
32,0.001,relu,64,9.334378242492676
32,0.001,relu,16,9.342536926269531
16,0.0001,linear,16,9.346219062805176
56,0.0001,relu,32,9.350879669189453
40,1e-05,linear,32,9.367594718933105
8,0.001,linear,8,9.372098922729492
16,1e-05,relu,16,9.372142791748047
56,1e-05,relu,64,9.393219947814941
16,0.0001,relu,8,9.406185150146484
64,0.0001,relu,64,9.40896224975586
32,0.0001,relu,32,9.417672157287598
64,1e-05,relu,8,9.428165435791016
40,0.001,linear,8,9.432830810546875
32,0.0001,linear,64,9.441105842590332
56,1e-05,linear,8,9.443503379821777
64,0.0001,linear,32,9.449384689331055
40,0.001,relu,64,9.451757431030273
24,1e-05,relu,8,9.457271575927734
48,1e-05,linear,32,9.459444046020508
16,0.001,linear,32,9.461004257202148
8,0.0001,relu,16,9.46189022064209
40,0.001,linear,64,9.465024948120117
8,0.001,relu,32,9.46792221069336
32,1e-05,relu,8,9.47105598449707
24,0.001,linear,32,9.476654052734375
24,0.001,relu,64,9.484835624694824
24,0.0001,relu,8,9.493642807006836
32,0.01,relu,8,9.498514175415039
32,0.0001,linear,16,9.502204895019531
16,0.01,relu,8,9.510168075561523
24,0.0001,linear,16,9.510274887084961
40,0.0001,linear,16,9.512028694152832
40,0.0001,linear,64,9.51424789428711
64,0.01,linear,8,9.516613006591797
32,0.001,relu,8,9.518479347229004
16,0.001,relu,64,9.518586158752441
32,1e-05,relu,64,9.519779205322266
56,0.001,linear,8,9.520417213439941
16,1e-05,linear,64,9.529186248779297
16,1e-05,linear,8,9.536608695983887
48,0.001,relu,8,9.54326343536377
32,0.001,relu,32,9.546316146850586
16,0.0001,relu,16,9.550649642944336
8,1e-05,relu,32,9.566702842712402
56,0.001,linear,64,9.56746768951416
56,0.0001,linear,64,9.573129653930664
16,0.001,relu,8,9.5838623046875
56,0.01,linear,32,9.591062545776367
64,0.0001,linear,16,9.591477394104004
48,0.001,linear,16,9.591700553894043
16,0.01,linear,8,9.59404468536377
40,0.0001,linear,8,9.60068416595459
32,0.001,linear,8,9.60462760925293
8,0.001,linear,32,9.608263969421387
56,0.001,linear,32,9.610692977905273
48,1e-05,linear,8,9.619287490844727
40,1e-05,linear,64,9.621889114379883
16,1e-05,linear,32,9.625123977661133
8,0.0001,relu,8,9.625995635986328
40,1e-05,relu,16,9.63248062133789
48,0.001,linear,32,9.635509490966797
16,0.0001,linear,8,9.63587760925293
40,0.001,linear,16,9.63722038269043
40,0.001,relu,32,9.64115047454834
40,0.001,relu,16,9.64183235168457
8,0.0001,linear,32,9.657788276672363
32,0.0001,relu,8,9.679222106933594
64,0.001,linear,64,9.679728507995605
8,0.01,linear,8,9.681280136108398
64,0.0001,relu,32,9.686441421508789
48,1e-05,relu,32,9.686590194702148
24,0.001,relu,16,9.68825912475586
48,0.0001,linear,16,9.690674781799316
64,0.001,relu,32,9.692362785339355
24,0.0001,linear,8,9.69556713104248
48,0.0001,linear,32,9.69856071472168
56,0.01,relu,64,9.705449104309082
56,0.0001,relu,16,9.707155227661133
8,1e-05,linear,16,9.719938278198242
48,0.001,relu,64,9.729437828063965
16,0.001,relu,32,9.73092269897461
32,0.001,linear,16,9.733838081359863
40,1e-05,linear,16,9.733911514282227
56,0.001,relu,8,9.736047744750977
64,0.001,relu,16,9.737360000610352
56,1e-05,relu,32,9.737456321716309
32,1e-05,linear,8,9.737960815429688
8,0.01,relu,16,9.738138198852539
32,0.01,linear,32,9.739276885986328
64,0.001,relu,8,9.739354133605957
40,0.0001,linear,32,9.739370346069336
56,0.01,linear,16,9.740917205810547
40,0.001,relu,8,9.745121002197266
48,0.01,relu,8,9.755008697509766
40,0.0001,relu,32,9.755983352661133
48,1e-05,relu,64,9.759122848510742
40,0.01,linear,8,9.759944915771484
40,0.0001,relu,8,9.761649131774902
16,0.001,linear,64,9.774308204650879
16,0.001,linear,8,9.780754089355469
16,1e-05,linear,16,9.783767700195312
56,0.0001,linear,8,9.783981323242188
24,0.001,linear,64,9.78597640991211
8,0.001,relu,16,9.7861967086792
16,0.0001,linear,32,9.786237716674805
56,0.001,relu,32,9.796266555786133
56,0.001,linear,16,9.796297073364258
24,0.001,relu,32,9.799086570739746
64,1e-05,linear,16,9.80035400390625
40,1e-05,relu,8,9.802934646606445
32,0.01,relu,64,9.806203842163086
56,0.001,relu,16,9.806909561157227
40,0.01,relu,64,9.811352729797363
48,0.0001,relu,16,9.82105827331543
16,0.01,linear,32,9.82441234588623
64,0.001,linear,16,9.82906723022461
56,1e-05,linear,16,9.830694198608398
8,0.001,linear,16,9.831080436706543
48,0.001,linear,8,9.83427619934082
40,0.01,linear,64,9.838211059570312
32,1e-05,linear,64,9.840889930725098
16,0.001,relu,16,9.84093952178955
56,0.01,relu,16,9.844609260559082
48,1e-05,relu,8,9.854676246643066
40,1e-05,relu,32,9.85570240020752
16,0.01,relu,16,9.858759880065918
48,0.0001,relu,32,9.860052108764648
16,0.0001,relu,32,9.86049747467041
24,0.01,relu,32,9.863609313964844
64,0.001,linear,8,9.865074157714844
64,0.0001,relu,16,9.866955757141113
32,0.0001,linear,8,9.868631362915039
8,0.001,relu,8,9.8768892288208
56,0.001,relu,64,9.880943298339844
64,0.001,relu,64,9.88237190246582
56,0.01,relu,32,9.891181945800781
16,1e-05,relu,32,9.900425910949707
48,0.001,linear,64,9.90816593170166
24,0.01,linear,64,9.908246040344238
8,0.01,linear,32,9.912435531616211
40,0.01,relu,16,9.912911415100098
24,1e-05,relu,16,9.915005683898926
56,0.0001,linear,32,9.923433303833008
8,1e-05,linear,8,9.924657821655273
64,0.001,linear,32,9.92548656463623
48,0.01,relu,32,9.925871849060059
24,1e-05,linear,64,9.926748275756836
24,1e-05,linear,16,9.941003799438477
48,0.01,linear,8,9.942475318908691
32,1e-05,linear,32,9.945037841796875
40,0.01,relu,32,9.957208633422852
56,0.01,relu,8,9.962434768676758
40,0.0001,relu,16,9.965219497680664
56,0.0001,relu,64,9.965688705444336
24,0.0001,linear,64,9.966139793395996
48,0.01,linear,16,9.978610038757324
48,0.0001,relu,64,9.990252494812012
24,1e-05,linear,8,9.994540214538574
24,0.01,relu,8,9.997318267822266
32,0.0001,relu,16,10.009879112243652
24,0.0001,relu,16,10.010358810424805
8,0.01,relu,64,10.014657974243164
32,0.01,relu,16,10.020084381103516
48,0.01,linear,64,10.042816162109375
24,0.01,relu,64,10.051677703857422
32,0.001,linear,32,10.056492805480957
40,0.01,relu,8,10.064669609069824
40,1e-05,linear,8,10.071109771728516
56,1e-05,linear,32,10.071879386901855
40,0.01,linear,16,10.07918930053711
8,0.001,linear,64,10.080720901489258
56,0.01,linear,64,10.081947326660156
16,0.01,linear,64,10.082552909851074
64,1e-05,linear,64,10.088258743286133
8,0.01,relu,8,10.103128433227539
64,0.01,linear,32,10.106383323669434
56,1e-05,relu,16,10.12116813659668
8,1e-05,linear,32,10.124088287353516
48,0.01,relu,16,10.124292373657227
48,0.0001,relu,8,10.130258560180664
64,1e-05,relu,32,10.13347053527832
16,0.01,relu,64,10.144123077392578
64,0.01,relu,8,10.145086288452148
40,0.01,linear,32,10.154019355773926
16,1e-05,relu,8,10.158811569213867
24,0.01,linear,8,10.167963981628418
8,0.01,relu,32,10.197896003723145
64,0.01,relu,16,10.19903564453125
8,1e-05,relu,16,10.200014114379883
16,0.01,linear,16,10.224130630493164
24,0.01,linear,16,10.236984252929688
48,0.001,relu,32,10.246246337890625
16,1e-05,relu,64,10.24911880493164
40,1e-05,relu,64,10.260350227355957
48,0.01,linear,32,10.275550842285156
56,0.01,linear,8,10.284831047058105
16,0.01,relu,32,10.293227195739746
8,0.01,linear,16,10.302376747131348
56,1e-05,linear,64,10.307869911193848
48,0.001,relu,16,10.311678886413574
8,1e-05,relu,64,10.331719398498535
8,1e-05,linear,64,10.339277267456055
32,1e-05,relu,32,10.358297348022461
32,0.0001,linear,32,10.36856746673584
64,0.01,linear,16,10.373331069946289
64,1e-05,linear,32,10.380154609680176
32,0.01,linear,8,10.38341999053955
16,0.001,linear,16,10.39218807220459
56,1e-05,relu,8,10.403379440307617
64,0.01,linear,64,10.414710998535156
48,1e-05,linear,64,10.418645858764648
24,0.01,relu,16,10.422070503234863
32,0.01,relu,32,10.42489242553711
64,0.01,relu,64,10.437579154968262
32,0.01,linear,64,10.43762493133545
24,1e-05,linear,32,10.506461143493652
16,0.0001,relu,64,10.511262893676758
48,1e-05,linear,16,10.550080299377441
64,0.01,relu,32,10.59886646270752
8,0.01,linear,64,10.599937438964844
24,1e-05,relu,32,10.630919456481934
32,0.001,linear,64,10.663424491882324
48,0.01,relu,64,10.677679061889648
24,1e-05,relu,64,10.716381072998047
32,1e-05,relu,16,10.799612045288086
56,0.0001,linear,16,10.85549545288086
24,0.01,linear,32,10.928110122680664
64,1e-05,relu,64,10.993650436401367
