date,outflow(m3/d),inflow(m3/d),spill(m3/d),wse(m),avg_temp(C)
1999-01-01,140995916.6976,134316776.44799998,0.0,164.198808,
1999-01-02,134830556.46719998,130891576.32,0.0,164.11956000000004,
1999-01-03,101459320.9344,109117089.792,0.0,164.29024800000002,
1999-01-04,98621297.9712,92725060.608,0.0,164.19271200000003,
1999-01-05,93385634.9184,98352175.104,0.0,164.19271200000003,
1999-01-06,110609498.4192,111074347.008,0.0,164.29024800000002,
1999-01-07,105153643.9296,107893804.032,0.0,164.31463200000002,
1999-01-08,128983250.5344,125998433.28,0.0,164.35730400000003,
1999-01-09,120591510.22079998,122328576.0,0.0,164.31768000000002,
1999-01-10,122279644.5696,118414061.568,0.0,164.30853600000003,
1999-01-11,129888481.9968,136274033.664,0.0,164.29939199999998,
1999-01-12,142708516.76160002,138965262.336,0.0,164.31768000000002,
1999-01-13,131821273.49760002,133093490.688,0.0,164.25672,
1999-01-14,143222296.78079998,145326348.288,0.0,164.220144,
1999-01-15,153228774.2976,153155377.152,0.0,164.253672,
1999-01-16,176666929.4592,170770692.096,0.0,164.12565600000002,
1999-01-17,150928997.06879997,151442777.088,0.0,164.235384,
1999-01-18,157730465.8944,157803863.04,0.0,164.186616,
1999-01-19,148360096.97280002,155601948.672,0.0,164.27196000000004,
1999-01-20,156164660.1216,145571005.44,0.0,164.10432,
1999-01-21,147234674.0736,153889348.60799998,0.0,164.186616,
1999-01-22,167223163.392,164409606.14400002,0.0,164.17442400000002,
1999-01-23,157632603.03360003,147528262.65600002,0.0,164.220144,
1999-01-24,160054708.83840004,169547406.336,0.0,164.12870400000003,
1999-01-25,153033048.576,146549634.048,0.0,164.153088,
1999-01-26,142537256.75519997,148017576.96,0.0,164.284152,
1999-01-27,153400034.304,150953462.784,0.0,164.186616,
1999-01-28,131527684.9152,133093490.688,0.0,164.19576000000004,
1999-01-29,128126950.5024,127955690.496,0.0,164.220144,
1999-01-30,143662679.65440002,142879776.768,0.0,164.19576000000004,
1999-01-31,132237190.656,135295405.056,0.0,164.27196000000004,
1999-02-01,144005199.66719997,141411833.856,0.0,164.11651200000003,
1999-02-02,112444427.0592,116701461.504,0.0,164.16223200000002,
1999-02-03,135417733.632,129912947.712,0.0,164.265864,
1999-02-04,128151416.2176,132359519.232,0.0,164.211,
1999-02-05,149045136.9984,142390462.46400002,0.0,164.12565600000002,
1999-02-06,89373257.62560001,91501774.848,0.0,164.12565600000002,
1999-02-07,120811701.6576,124775147.52,0.0,164.177472,
1999-02-08,150243957.0432,152666062.848,0.0,164.351208,
1999-02-09,139063125.1968,137252662.272,0.0,164.244528,
1999-02-10,134830556.46719998,137252662.272,0.0,164.131752,
1999-02-11,106841778.2784,102756003.84,0.0,164.26891200000003,
1999-02-12,116530201.4976,125019804.672,0.0,164.30853600000003,
1999-02-13,136298499.37919998,128200347.648,0.0,164.2872,
1999-02-14,101092335.2064,105691889.664,0.0,164.30244,
1999-02-15,136934607.97439998,134806090.75199997,0.0,164.473128,
1999-02-16,141460765.2864,142145805.312,0.0,164.35730400000003,
1999-02-17,122989150.3104,119392690.17599998,0.0,164.2872,
1999-02-18,128983250.5344,134072119.296,0.0,164.342064,
1999-02-19,124628353.2288,125019804.672,0.0,164.335968,
1999-02-20,146769825.4848,144837033.984,0.0,164.296344,
1999-02-21,137668579.4304,139454576.64,0.0,164.30853600000003,
1999-02-22,160054708.83840004,156580577.28,0.0,164.259768,
1999-02-23,115600504.32,121594604.544,0.0,164.37559199999998,
1999-02-24,186037298.38080004,185694778.36800003,0.0,164.45484,
1999-02-25,222784802.6112,226552522.752,0.0,164.45484,
1999-02-26,207249073.4592,207469264.896,0.0,164.476176,
1999-02-27,223347514.0608,216276922.368,0.0,164.229288,
1999-02-28,222686939.7504,228265122.816,0.0,164.351208,
1999-03-01,259948224.0,257379323.904,0.0,164.262816,
1999-03-02,278737893.27360004,271080124.41599995,0.0,164.29024800000002,
1999-03-03,233990100.1728,234626208.768,0.0,164.25672,
1999-03-04,263691478.4256,235849494.52800003,1688134.3487999998,164.284152,
1999-03-05,208276633.4976,212362407.936,0.0,164.30244,
1999-03-06,193670601.5232,194991750.144,0.0,164.40302400000002,
1999-03-07,190123072.8192,186918064.128,0.0,164.381688,
1999-03-08,189878415.6672,191321892.864,0.0,164.35730400000003,
1999-03-09,197218130.2272,197927635.968,0.0,164.372544,
1999-03-10,207762853.4784,213830350.848,0.0,164.293296,4.6
1999-03-11,176642463.74400002,170281377.792,0.0,164.262816,4.7
1999-03-12,189731621.376,194257778.688,0.0,164.29024800000002,4.77
1999-03-13,199664701.7472,195725721.6,0.0,164.23843200000002,4.89
1999-03-14,200178481.7664,197927635.968,0.0,164.27805600000002,5.02
1999-03-15,229121422.848,233402923.008,0.0,164.35425600000002,5.22
1999-03-16,231054214.3488,228509779.968,0.0,164.19576000000004,5.4
1999-03-17,207102279.168,210894465.024,0.0,164.27196000000004,5.55
1999-03-18,225524962.7136,228020465.664,0.0,164.43045600000002,5.76
1999-03-19,229806462.8736,221414722.56,0.0,164.311584,5.92
1999-03-20,215078102.3232,225818551.296,0.0,164.45484,6.22
1999-03-21,280939807.6416,272303410.176,0.0,164.427408,6.71
1999-03-22,283288516.3008,292365296.64,0.0,164.293296,7.03
1999-03-23,319228651.9296,317320326.14399993,39609992.908800006,164.418264,7.09
1999-03-24,286248867.84,287227496.448,47610281.7792,164.412168,7.06
1999-03-25,301295282.688,301662268.41599995,2813557.248,164.50056000000004,7.29
1999-03-26,312940963.1232,315852383.232,11082968.9856,164.44264800000002,7.4
1999-03-27,325858860.7488,325394012.16,25224152.3712,164.512752,7.23
1999-03-28,323069769.216,319522240.512,24025332.326400004,164.463984,7.24
1999-03-29,297870082.56,296769125.376,978628.608,164.476176,7.24
1999-03-30,278444304.6912,277930524.672,2104051.5072,164.427408,7.34
1999-03-31,276535978.9056,272303410.176,0.0,164.143944,7.48
1999-04-01,225304771.2768,223127322.624,0.0,164.25062400000002,7.36
1999-04-02,224057019.8016,224105951.232,15780386.304,164.107368,7.31
1999-04-03,244510357.7088,240253323.264,41860838.7072,164.16528000000002,7.3
1999-04-04,210160493.568,198661607.424,39756787.2,163.83304800000002,7.21
1999-04-05,201793218.9696,198172293.12,41273661.5424,163.854384,7.22
1999-04-06,182930152.5504,186673406.976,41347058.688,163.89096000000004,7.14
1999-04-07,181486675.3536,182514235.392,43744698.777600005,163.90924800000002,7.32
1999-04-08,187309515.5712,185205464.064,44552067.37920001,163.85133600000003,7.49
1999-04-09,181804729.6512,182758892.54400003,47683678.9248,163.836096,7.65
1999-04-10,188557267.0464,185694778.36800003,46607187.456,163.86962400000002,7.79
1999-04-11,176251012.3008,176887120.89599997,45701955.9936,163.836096,8.07
1999-04-12,175370246.5536,178355063.808,46264667.4432,163.826952,8.24
1999-04-13,197462787.37919995,199150921.728,46974173.18399999,163.91839199999998,8.26
1999-04-14,200349741.7728,199884893.184,48221924.6592,163.85743200000002,8.7
1999-04-15,201842150.4,198661607.424,47487953.2032,163.903152,8.82
1999-04-16,203677079.04,204044064.768,44454204.5184,163.90010400000003,9.11
1999-04-17,209279727.82080004,208937207.808,46705050.3168,163.86048000000002,9.16
1999-04-18,215983333.7856,219212808.192,44698861.67039999,163.839144,9.3
1999-04-19,245782574.8992,245635780.608,84382251.7248,163.90924800000002,9.39
1999-04-20,295912825.344,293588582.40000004,78388151.5008,163.842192,9.7
1999-04-21,316145971.8144,318298954.752,50546167.6032,163.88791200000003,9.79
1999-04-22,303815251.3536,307044725.76,32196881.2032,163.854384,10.1
1999-04-23,294126828.1344,292120639.48800004,33664824.1152,163.83,10.31
1999-04-24,265012627.0464,261293838.336,36258189.926400006,163.82390400000003,10.55
1999-04-25,263985067.00800005,266431638.52800003,35450821.3248,163.826952,10.5
1999-04-26,278958084.7104,280866410.49600005,31413978.3168,163.848288,10.17
1999-04-27,303619525.632,303864182.784,34472192.7168,163.81171200000003,10.07
1999-04-28,303962045.6448,308268011.52,43108590.1824,163.802568,10.23
1999-04-29,252486180.864,249060980.736,36894298.5216,163.808664,10.38
