Project,Date,Outflow (kcfs),Spill (kcfs),Spill Percent (%),Inflow (kcfs),Temp (Scroll Case) (C),Temperature (C),Barometric Pressure (mmHg),Dissolved Gas (mmHg),Dissolved Gas Percent (%),Turbidity (ft),Elevation (ft)
DWR,1999-01-01,1.3,0.0,0.0,7.0,,,,,,,1533.39
DWR,1999-01-02,1.3,0.0,0.0,5.6,6.11,6.11,,,,,1534.11
DWR,1999-01-03,1.3,0.0,0.0,5.0,5.56,5.56,,,,,1534.68
DWR,1999-01-04,1.3,0.0,0.0,4.3,5.56,5.56,,,,,1535.17
DWR,1999-01-05,1.3,0.0,0.0,4.0,5.56,5.56,,,,,1535.58
DWR,1999-01-06,1.3,0.0,0.0,3.6,5.56,5.56,,,,,1535.95
DWR,1999-01-07,8.51,0.0,0.0,3.3,5.56,5.56,,,,,1535.79
DWR,1999-01-08,5.72,0.0,0.0,3.6,5.56,5.56,,,,,1535.19
DWR,1999-01-09,5.64,0.0,0.0,3.1,5.56,5.56,,,,,1534.86
DWR,1999-01-10,5.72,0.0,0.0,4.1,5.56,5.56,,,,,1534.56
DWR,1999-01-11,7.58,0.0,0.0,5.1,5.56,5.56,,,,,1534.31
DWR,1999-01-12,8.04,0.0,0.0,4.4,5.56,5.56,,,,,1533.84
DWR,1999-01-13,8.07,0.0,0.0,4.0,5.56,5.56,,,,,1533.28
DWR,1999-01-14,8.07,0.0,0.0,4.8,5.56,5.56,,,,,1532.7
DWR,1999-01-15,8.08,0.0,0.0,10.7,5.56,5.56,,,,,1532.68
DWR,1999-01-16,8.08,0.0,0.0,8.1,5.56,5.56,,,,,1532.88
DWR,1999-01-17,8.08,0.0,0.0,7.1,5.56,5.56,,,,,1532.81
DWR,1999-01-18,8.1,0.0,0.0,6.0,5.0,5.0,,,,,1532.59
DWR,1999-01-19,9.8,0.0,0.0,5.6,5.0,5.0,,,,,1532.17
DWR,1999-01-20,10.45,0.0,0.0,5.1,5.0,5.0,,,,,1531.42
DWR,1999-01-21,10.5,0.0,0.0,5.3,5.0,5.0,,,,,1530.65
DWR,1999-01-22,10.54,0.0,0.0,5.1,5.0,5.0,,,,,1529.87
DWR,1999-01-23,10.54,0.0,0.0,4.8,5.0,5.0,,,,,1529.05
DWR,1999-01-24,10.55,0.0,0.0,4.2,4.44,4.44,,,,,1528.16
DWR,1999-01-25,10.59,0.0,0.0,3.8,4.44,4.44,,,,,1527.18
DWR,1999-01-26,10.57,0.0,0.0,3.2,4.44,4.44,,,,,1526.11
DWR,1999-01-27,6.6,0.0,0.0,3.5,4.44,4.44,,,,,1525.11
DWR,1999-01-28,5.46,0.0,0.0,3.1,4.44,4.44,,,,,1524.12
DWR,1999-01-29,6.85,0.0,0.0,3.0,4.44,4.44,,,,,1522.99
DWR,1999-01-30,8.24,0.0,0.0,2.6,4.44,4.44,,,,,1521.8
DWR,1999-01-31,9.62,0.0,0.0,2.5,4.44,4.44,,,,,1520.55
DWR,1999-02-01,10.68,0.0,0.0,2.4,4.44,4.44,,,,,1519.3
DWR,1999-02-02,10.74,0.0,0.0,3.0,4.44,4.44,,,,,1518.08
DWR,1999-02-03,10.74,0.0,0.0,2.8,4.44,4.44,,,,,1516.86
DWR,1999-02-04,10.74,0.0,0.0,2.3,4.44,4.44,,,,,1515.57
DWR,1999-02-05,10.74,0.0,0.0,2.4,4.44,4.44,,,,,1514.27
DWR,1999-02-06,10.74,0.0,0.0,2.6,4.44,4.44,,,,,1512.98
DWR,1999-02-07,10.69,0.0,0.0,3.5,4.44,4.44,,,,,1511.74
DWR,1999-02-08,10.68,0.0,0.0,3.4,4.44,4.44,,,,,1510.57
DWR,1999-02-09,10.65,0.0,0.0,3.0,,,,,,,1509.33
DWR,1999-02-10,10.65,0.0,0.0,2.7,4.44,4.44,,,,,1508.07
DWR,1999-02-11,10.65,0.0,0.0,2.7,4.44,4.44,,,,,1506.76
DWR,1999-02-12,10.65,0.0,0.0,2.3,4.44,4.44,,,,,1505.41
DWR,1999-02-13,10.65,0.0,0.0,2.6,4.44,4.44,,,,,1504.02
DWR,1999-02-14,10.64,0.0,0.0,2.9,4.44,4.44,,,,,1502.65
DWR,1999-02-15,10.64,0.0,0.0,2.6,4.44,4.44,,,,,1501.3
DWR,1999-02-16,10.63,0.0,0.0,2.7,4.44,4.44,,,,,1499.91
DWR,1999-02-17,10.61,0.0,0.0,2.8,4.44,4.44,,,,,1498.53
DWR,1999-02-18,10.6,0.0,0.0,3.1,4.44,4.44,,,,,1497.18
DWR,1999-02-19,10.64,0.0,0.0,3.4,4.44,4.44,,,,,1495.85
DWR,1999-02-20,10.58,0.0,0.0,3.0,4.44,4.44,,,,,1494.54
DWR,1999-02-21,10.62,0.0,0.0,3.3,4.44,4.44,,,,,1493.17
DWR,1999-02-22,10.61,0.0,0.0,3.2,4.44,4.44,,,,,1491.82
DWR,1999-02-23,10.6,0.0,0.0,4.8,4.44,4.44,,,,,1490.53
DWR,1999-02-24,10.58,0.0,0.0,10.8,4.44,4.44,,,,,1489.92
DWR,1999-02-25,10.57,0.0,0.0,11.2,4.44,4.44,,,,,1490.13
DWR,1999-02-26,10.6,0.0,0.0,8.9,4.44,4.44,,,,,1490.06
DWR,1999-02-27,10.58,0.0,0.0,7.5,4.44,4.44,,,,,1489.59
DWR,1999-02-28,10.6,0.0,0.0,10.2,4.44,4.44,,,,,1489.16
DWR,1999-03-01,10.57,0.0,0.0,11.7,4.44,4.44,,,,,1489.35
DWR,1999-03-02,10.58,0.0,0.0,9.5,,,,,,,1489.35
DWR,1999-03-03,10.59,0.0,0.0,7.9,4.44,4.44,,,,,1488.98
DWR,1999-03-04,13.99,3.49,24.93,7.3,4.44,4.44,,,,,1488.1
DWR,1999-03-05,14.17,3.6,25.4,6.6,4.44,4.44,,,,,1486.72
DWR,1999-03-06,14.12,3.55,25.12,5.6,4.44,4.44,,,,,1485.17
DWR,1999-03-07,14.09,3.52,24.99,5.6,4.44,4.44,,,,,1483.49
DWR,1999-03-08,14.13,3.51,24.87,5.2,4.44,4.44,,,,,1481.77
DWR,1999-03-09,14.26,3.5,24.55,5.2,4.44,4.44,,,,,1479.95
DWR,1999-03-10,14.18,3.43,24.15,5.0,4.44,4.44,,,,,1478.1
DWR,1999-03-11,14.04,3.42,24.36,4.5,4.44,4.44,,,,,1476.19
DWR,1999-03-12,13.99,3.4,24.33,4.5,4.44,4.44,,,,,1474.25
DWR,1999-03-13,13.98,3.4,24.36,4.5,4.44,4.44,,,,,1472.3
DWR,1999-03-14,13.94,3.4,24.39,5.4,4.44,4.44,,,,,1470.42
DWR,1999-03-15,13.88,3.4,24.5,6.6,4.44,4.44,,,,,1468.79
DWR,1999-03-16,13.85,3.39,24.48,7.7,4.44,4.44,,,,,1467.41
DWR,1999-03-17,13.83,3.33,24.04,6.5,4.44,4.44,,,,,1466.01
DWR,1999-03-18,13.79,3.32,24.09,6.2,4.44,4.44,,,,,1464.45
DWR,1999-03-19,14.02,3.59,25.59,7.0,4.44,4.44,,,,,1462.89
DWR,1999-03-20,14.03,3.62,25.8,8.9,4.44,4.44,,,,,1461.57
DWR,1999-03-21,14.0,3.62,25.86,12.1,4.44,4.44,,,,,1460.8
DWR,1999-03-22,13.99,3.62,25.88,14.4,4.44,4.44,,,,,1460.69
DWR,1999-03-23,13.98,3.62,25.9,14.4,4.44,4.44,,,,,1460.8
DWR,1999-03-24,13.97,3.61,25.87,14.0,4.44,4.44,,,,,1460.85
DWR,1999-03-25,13.98,3.62,25.89,14.4,4.44,4.44,,,,,1460.84
DWR,1999-03-26,13.98,3.62,25.91,17.4,4.44,4.44,,,,,1461.31
DWR,1999-03-27,13.97,3.62,25.92,14.3,4.44,4.44,,,,,1461.73
DWR,1999-03-28,15.18,4.82,31.72,11.3,,,,,,,1461.39
DWR,1999-03-29,15.93,5.58,35.04,9.8,4.44,4.44,,,,,1460.26
DWR,1999-03-30,16.0,5.66,35.38,8.5,4.44,4.44,,,,,1458.82
DWR,1999-03-31,15.96,5.62,35.21,7.6,,,,,,,1457.15
DWR,1999-04-01,15.96,5.62,35.21,7.0,4.44,4.44,,,,,1455.29
DWR,1999-04-02,16.02,5.64,35.19,6.4,4.44,4.44,,,,,1453.28
DWR,1999-04-03,12.28,1.95,15.85,6.8,4.44,4.44,,,,,1451.49
DWR,1999-04-04,10.28,0.0,0.0,5.2,4.44,4.44,,,,,1450.55
DWR,1999-04-05,10.34,0.0,0.0,5.6,4.44,4.44,,,,,1449.57
DWR,1999-04-06,10.34,0.0,0.0,5.1,4.44,4.44,,,,,1448.49
DWR,1999-04-07,10.41,0.0,0.0,5.0,4.44,4.44,,,,,1447.32
DWR,1999-04-08,9.92,0.0,0.0,5.8,4.44,4.44,,,,,1446.21
DWR,1999-04-09,8.02,0.0,0.0,5.9,4.44,4.44,,,,,1445.62
DWR,1999-04-10,5.75,0.0,0.0,5.3,4.44,4.44,,,,,1445.26
DWR,1999-04-11,4.72,0.0,0.0,5.4,4.44,4.44,,,,,1445.37
DWR,1999-04-12,5.32,0.0,0.0,6.1,5.0,5.0,,,,,1445.53
DWR,1999-04-13,7.01,0.0,0.0,6.9,5.0,5.0,,,,,1445.63
DWR,1999-04-14,7.58,0.0,0.0,7.1,5.0,5.0,,,,,1445.49
DWR,1999-04-15,8.18,0.0,0.0,7.5,5.0,5.0,,,,,1445.45
DWR,1999-04-16,7.82,0.0,0.0,8.1,5.0,5.0,,,,,1445.32
DWR,1999-04-17,8.31,0.0,0.0,9.6,5.0,5.0,,,,,1445.5
