date,chum,sockeye,steelhead,lamprey,avg_temp(C),pink,chinook,shad,bull_trout,coho
1956-01-01,,,,,3.3,,,,,
1956-01-02,,,2.0,,3.1,,,,,
1956-01-03,,,3.0,,2.5,,,,,
1956-01-04,,,1.0,,2.2,,,,,
1956-01-05,,,2.0,,2.5,,,,,
1956-01-06,,,3.0,,2.5,,,,,
1956-01-07,,,,,2.8,,,,,
1956-01-08,,,,,8.3,,,,,
1956-01-09,,,,,3.1,,,,,
1956-01-10,,,,,3.3,,,,,
1956-01-11,,,,,3.3,,,,,
1956-01-12,,,,,3.6,,,,,
1956-01-13,,,,,3.6,,,,,
1956-01-14,,,,,3.3,,,,,
1956-01-15,,,,,3.6,,,,,
1956-01-16,,,4.0,,3.3,,,,,
1956-01-17,,,3.0,,3.3,,,,,
1956-01-18,,,,,3.6,,,,,
1956-01-19,,,,,3.6,,,,,
1956-01-20,,,2.0,,3.3,,,,,
1956-01-21,,,2.0,,8.9,,,,,
1956-01-22,,,,,3.3,,,,,
1956-01-23,,,3.0,,3.3,,,,,
1956-01-24,,,5.0,,3.3,,,,,
1956-01-25,,,9.0,,3.3,,,,,
1956-01-26,,,18.0,,3.1,,,,,
1956-01-27,,,6.0,,3.1,,,,,
1956-01-28,,,2.0,,2.5,,,,,
1956-01-29,,,,,2.5,,,,,
1956-01-30,,,1.0,,1.9,,,,,
1956-01-31,,,,,1.4,,,,,
1956-02-01,,,,,1.7,,,,,
1956-02-02,,,,,1.4,,,,,
1956-02-03,,,,,0.8,,,,,
1956-02-04,,,,,0.3,,,,,
1956-02-05,,,,,,,,,,
1956-02-06,,,,,,,,,,
1956-02-07,,,,,,,,,,
1956-02-08,,,,,,,,,,
1956-02-09,,,,,,,,,,
1956-02-10,,,,,,,,,,
1956-02-11,,,,,0.3,,,,,
1956-02-12,,,,,0.6,,,,,
1956-02-13,,,1.0,,0.8,,,,,
1956-02-14,,,,,1.1,,,,,
1956-02-15,,,,,1.1,,,,,
1956-02-16,,,,,1.1,,,,,
1956-02-17,,,,,6.7,,,,,
1956-02-18,,,,,1.1,,,,,
1956-02-19,,,,,0.8,,,,,
1956-02-20,,,,,0.6,,,,,
1956-02-21,,,,,0.3,,,,,
1956-02-22,,,,,0.3,,,,,
1956-02-23,,,,,0.6,,,,,
1956-02-24,,,,,1.1,,,,,
1956-02-25,,,,,1.4,,,,,
1956-02-26,,,,,1.7,,,,,
1956-02-27,,,,,1.9,,,,,
1956-02-28,,,474.0,,2.5,,,,,
1956-02-29,,,278.0,,3.1,,,,,
1956-03-01,,,2.0,,3.3,,,,,
1956-03-02,,,3.0,,3.3,,,,,
1956-03-03,,,1.0,,3.6,,,,,
1956-03-04,,,5.0,,3.9,,,,,
1956-03-05,,,1.0,,4.2,,,,,
1956-03-06,,,1.0,,4.2,,1.0,,,
1956-03-07,,,,,4.2,,,,,
1956-03-08,,,4.0,,4.4,,,,,
1956-03-09,,,2.0,,4.4,,1.0,,,
1956-03-10,,,1.0,,4.4,,,,,
1956-03-11,,,3.0,,4.7,,,,,
1956-03-12,,,7.0,,4.4,,,,,
1956-03-13,,,9.0,,4.4,,,,,
1956-03-14,,,24.0,,4.4,,,,,
1956-03-15,,,18.0,,4.7,,,,,
1956-03-16,,,1.0,,4.7,,,,,
1956-03-17,,,45.0,,5.0,,,,,
1956-03-18,,,10.0,,5.3,,,,,
1956-03-19,,,4.0,,5.3,,,,,
1956-03-20,,,43.0,,5.0,,,,,
1956-03-21,,,93.0,,5.8,,,,,
1956-03-22,,,75.0,,6.4,,,,,
1956-03-23,,,71.0,,6.9,,,,,
1956-03-24,,,27.0,,6.9,,,,,
1956-03-25,,,21.0,,6.7,,,,,
1956-03-26,,,24.0,,6.7,,,,,
1956-03-27,,,6.0,,6.9,,1.0,,,
1956-03-28,,,28.0,,7.2,,,,,
1956-03-29,,,10.0,,6.9,,,,,
1956-03-30,,,9.0,,6.9,,2.0,,,
1956-03-31,,,15.0,,6.9,,2.0,,,
1956-04-01,,,12.0,,6.7,,,,,
1956-04-02,,,17.0,,6.7,,,,,
1956-04-03,,,18.0,,6.4,,,,,
1956-04-04,,,15.0,,6.7,,,,,
1956-04-05,,,9.0,,6.7,,,,,
1956-04-06,,,25.0,,6.9,,1.0,,,
1956-04-07,,,56.0,,7.5,,,,,
1956-04-08,,,51.0,,7.2,,,,,
1956-04-09,,,82.0,,6.9,,1.0,,,
1956-04-10,,,70.0,,7.5,,,,,
1956-04-11,,,44.0,,7.8,,1.0,,,
1956-04-12,,,150.0,,8.6,,6.0,,,
1956-04-13,,,114.0,,9.7,,10.0,,,
1956-04-14,,,172.0,,9.7,,5.0,,,
1956-04-15,,,172.0,,9.4,,4.0,,,
1956-04-16,,,109.0,,9.4,,4.0,,,
1956-04-17,,,177.0,,9.7,,2.0,,,
1956-04-18,,,85.0,,9.7,,4.0,,,
1956-04-19,,,63.0,,9.7,,3.0,,,
1956-04-20,,,97.0,,9.2,,8.0,,,
1956-04-21,,,64.0,,9.2,,5.0,,,
1956-04-22,,,289.0,,9.7,,25.0,,,
1956-04-23,,,174.0,,9.7,,27.0,,,
1956-04-24,,,48.0,,9.2,,19.0,,,
1956-04-25,,,15.0,,8.6,,8.0,,,
1956-04-26,,,22.0,,8.6,,17.0,,,
1956-04-27,,,26.0,,8.6,,12.0,,,
1956-04-28,,,64.0,,8.9,,40.0,,,
1956-04-29,,,85.0,,9.2,,58.0,,,
1956-04-30,,,40.0,,9.2,,47.0,,,
1956-05-01,,,58.0,,9.2,,135.0,,,
1956-05-02,,,146.0,,9.2,,118.0,,,
1956-05-03,,,160.0,,9.4,,102.0,,,
1956-05-04,,,67.0,,9.4,,60.0,,,
1956-05-05,,,44.0,,9.7,,41.0,,,
1956-05-06,,,52.0,,10.3,,112.0,,,
1956-05-07,,,61.0,,10.3,,165.0,,,
1956-05-08,,,84.0,,10.6,,288.0,,,
1956-05-09,,,63.0,,10.8,,361.0,,,
1956-05-10,,,89.0,,10.8,,407.0,,,
1956-05-11,,,42.0,,10.8,,221.0,,,
1956-05-12,,,32.0,,10.6,,221.0,,,
1956-05-13,,,20.0,,10.3,,300.0,,,
1956-05-14,,,23.0,,10.6,,230.0,,,
1956-05-15,,,28.0,,13.6,,308.0,,,
1956-05-16,,,18.0,,11.9,,274.0,,,
1956-05-17,,,13.0,,12.2,,228.0,,,
1956-05-18,,,18.0,1.0,12.5,,137.0,,,
1956-05-19,,,28.0,,13.1,,401.0,,,
1956-05-20,,1.0,26.0,,13.1,,908.0,,,
1956-05-21,,,21.0,,12.5,,1112.0,,,
1956-05-22,,,12.0,,12.5,,474.0,,,
1956-05-23,,,44.0,,12.2,,956.0,,,
1956-05-24,,,27.0,,11.9,,808.0,,,
1956-05-25,,,15.0,,11.9,,494.0,,,
1956-05-26,,,9.0,,11.9,,318.0,,,
1956-05-27,,,4.0,,11.4,,234.0,,,
1956-05-28,,,2.0,,11.7,,213.0,,,
1956-05-29,,,1.0,,11.9,,137.0,,,
1956-05-30,,,4.0,,12.2,,417.0,,,
1956-05-31,,,7.0,,12.5,,566.0,,,
1956-06-01,,1.0,20.0,,13.1,,576.0,,,
1956-06-02,,,9.0,,13.6,,303.0,,,
1956-06-03,,,,,13.6,,155.0,,,
1956-06-04,,,5.0,,12.5,,105.0,,,
1956-06-05,,1.0,2.0,,12.5,,154.0,,,
1956-06-06,,2.0,3.0,,12.5,,123.0,,,
1956-06-07,,1.0,,,11.9,,115.0,,,
