date,sockeye,steelhead,lamprey,avg_temp(C),chinook,shad,bull_trout,coho
1977-04-15,,,,7.2,,,,
1977-04-16,,,,7.5,,,,
1977-04-17,,,,7.5,,,,
1977-04-18,,,,7.6,,,,
1977-04-19,,,,7.6,,,,
1977-04-20,,,,7.6,,,,
1977-04-21,,,,7.5,,,,
1977-04-22,,,,7.6,,,,
1977-04-23,,,,7.7,,,,
1977-04-24,,,,7.6,,,,
1977-04-25,,,,8.2,,,,
1977-04-26,,3.0,,8.4,167.0,,,
1977-04-27,,4.0,,8.3,176.0,,,
1977-04-28,,9.0,,,479.0,,,
1977-04-29,,11.0,,8.7,324.0,,,
1977-04-30,,7.0,,8.6,1030.0,,,
1977-05-01,,28.0,,8.7,1530.0,,,
1977-05-02,,4.0,,9.3,251.0,,,
1977-05-03,,9.0,,9.4,371.0,,,
1977-05-04,,8.0,,9.8,602.0,,,
1977-05-05,,8.0,,9.8,388.0,,,
1977-05-06,,4.0,,9.7,314.0,,,
1977-05-07,,1.0,,9.1,149.0,,,
1977-05-08,,11.0,,8.9,1458.0,,,
1977-05-09,,3.0,,9.0,891.0,,,
1977-05-10,,11.0,,9.2,560.0,,,
1977-05-11,,12.0,,9.2,1486.0,,,
1977-05-12,,7.0,,9.4,654.0,,,
1977-05-13,,8.0,,9.7,1167.0,,,
1977-05-14,,3.0,,9.7,383.0,,,
1977-05-15,,,,10.0,273.0,,,
1977-05-16,,4.0,,10.0,591.0,,,
1977-05-17,,3.0,,9.8,458.0,,,
1977-05-18,,1.0,,9.7,579.0,,,
1977-05-19,,5.0,,9.7,227.0,,,
1977-05-20,,4.0,,10.1,379.0,,,
1977-05-21,,4.0,,10.6,169.0,,,
1977-05-22,,1.0,,11.0,323.0,,,
1977-05-23,,1.0,,11.1,116.0,,,
1977-05-24,,5.0,,11.0,231.0,,,
1977-05-25,,7.0,,11.0,252.0,,,
1977-05-26,,3.0,,11.1,124.0,,,
1977-05-27,,4.0,,11.2,130.0,,,
1977-05-28,,,,11.3,294.0,,,
1977-05-29,,1.0,,11.0,105.0,,,
1977-05-30,,,,11.2,301.0,,,
1977-05-31,,,,11.4,104.0,,,
1977-06-01,,5.0,,11.8,115.0,,,
1977-06-02,,3.0,,11.8,171.0,,,
1977-06-03,,3.0,,12.0,54.0,,,
1977-06-04,,1.0,,11.8,133.0,,,
1977-06-05,,4.0,,11.7,73.0,,,
1977-06-06,,,,12.8,20.0,,,
1977-06-07,,3.0,,12.2,31.0,,,
1977-06-08,,1.0,,12.7,72.0,,,
1977-06-09,1.0,1.0,,12.8,63.0,,,
1977-06-10,,3.0,,12.9,127.0,,,
1977-06-11,1.0,,,13.2,96.0,,,
1977-06-12,,,,13.6,44.0,,,
1977-06-13,1.0,4.0,,13.8,69.0,,,
