Date,dS (m3),GranD_ID
2019-04-15,,310
2019-05-01,-1494094.9267376,310
2019-05-15,-681595.5176908751,310
2019-06-01,3750119.042051402,310
2019-06-15,-2640541.033334791,310
2019-07-01,1978885.694361751,310
2019-07-15,-524026.3271727251,310
2019-08-01,675585.0209208501,310
2019-08-15,-2112531.843269073,310
2019-09-01,-7256486.649162199,310
2019-09-15,5755056.306768575,310
2019-10-01,-2992642.4745253003,310
2019-10-15,1400082.4075491005,310
2019-11-01,1917477.8793346747,310
2019-11-15,-4442435.046930674,310
2019-12-01,281276.113004413,310
2019-12-15,-3341768.7794498755,310
2020-01-01,710280.3458535001,310
2020-01-15,2176684.5112760253,310
2020-02-01,-1594863.3844585,310
2020-02-15,-2059503.1858895666,310
2020-03-01,1907900.0540630324,310
2020-03-15,-598500.3195168499,310
2020-04-01,-2017964.82906,310
2020-04-15,577772.8302070501,310
2020-05-01,921716.6941742003,310
2020-05-15,1747731.063723425,310
2020-06-01,2317982.111284125,310
2020-06-15,1992069.10704135,310
2020-07-01,1004429.5995934,310
2020-07-15,373546.90503178,310
2020-08-01,-293586.6203825,310
2020-08-15,-1106881.6675663,310
2020-09-01,-2936109.4554533,310
2020-09-15,3721430.2718077498,310
2020-10-01,-1629654.0947943,310
2020-10-15,3856214.8544329666,310
2020-11-01,-5265035.488070975,310
2020-11-15,2288368.0730464,310
2020-12-01,-757637.4942156752,310
2020-12-15,1024890.1605305751,310
2021-01-01,-1460281.0920795004,310
2021-01-15,-829085.9653236499,310
2021-02-01,-42161.1605205501,310
2021-02-15,-555068.96663725,310
2021-03-01,428529.8136709498,310
2021-03-15,856991.5599461333,310
2021-04-01,626036.20730485,310
2021-04-15,526159.2848295999,310
2021-05-01,-1281825.1438962666,310
2021-05-15,471521.95536686,310
2021-06-01,894684.7194876,310
2021-06-15,1335477.1822417334,310
2021-07-01,1141080.0235589137,310
2021-07-15,968937.6166572999,310
2021-08-01,-5847974.842667566,310
2021-08-15,-1249443.734913,310
2021-09-01,-1004476.3661732118,310
2021-09-15,492054.98687024997,310
2021-10-01,196519.20959992503,310
2021-10-15,-70227.30091074086,310
2021-11-01,-1786567.5444255,310
2021-11-15,2614969.2145241997,310
2021-12-01,-9077150.22830945,310
2021-12-15,-6513077.8607965605,310
2022-01-01,-3730620.7294046,310
2022-01-15,25217175.76446334,310
2022-02-01,0.0,310
2022-02-15,0.0,310
2022-03-01,-52179842.82784584,310
2022-03-15,110705.5210047096,310
2022-04-01,-3500.3534248838964,310
2022-04-15,-109680.04572179075,310
2022-05-01,195152.49303111152,310
2022-05-15,-80704.63724152719,310
2022-06-01,295935.199685275,310
2022-06-15,47011.90932828073,310
2022-07-01,73559.86410496262,310
2022-07-15,32270.425159071696,310
2022-08-01,23455.805085786706,310
2022-08-15,-23949.27802570849,310
2022-09-01,-10970.905213163045,310
2022-09-15,155684.18285773386,310
2022-10-01,-103259.02400173944,310
2022-10-15,-184227.02614598104,310
2022-11-01,213616.17541983668,310
2022-11-15,-121421.12603524579,310
2022-12-01,-92947.83729194256,310
2022-12-15,43606.582934032376,310
2023-01-01,38552.04478144123,310
2023-01-15,-50920.33659643015,310
2023-02-01,-110071.72369970367,310
2023-02-15,-159182.98023867043,310
2023-03-01,-79366.18784573038,310
2023-03-15,-76038.9751553856,310
2023-04-01,-59828.91300445372,310
2023-04-15,-103718450.95551169,310
2019-05-01,-282758.0636555,389
2019-05-15,-302788.726211675,389
2019-06-01,-242436.09902999632,389
2019-06-15,-396233.47047955514,389
2019-07-01,292709.35001733335,389
2019-07-15,-17040.99340851085,389
2019-08-01,4582.164952642995,389
2019-08-15,-54173.490081103744,389
2019-09-01,26846.666805115423,389
2019-09-15,94005.90216684999,389
2019-10-01,-24847.677884700825,389
2019-10-15,219891.483614742,389
2019-11-01,-17293.0610629241,389
2019-11-15,-210793.3916197006,389
