date,outflow(m3/d),inflow(m3/d),spill(m3/d),avg_temp(C),wse(m)
1982-01-01,410901686.78400004,406864843.77599996,0.0,,22.573488
1982-01-02,395512751.92319995,393164043.264,0.0,,22.674072000000002
1982-01-03,350275644.51839995,330287155.2,0.0,,23.0124
1982-01-04,438988327.83360004,493228818.432,0.0,,22.576536
1982-01-05,458878954.29120004,468518446.08000004,0.0,,22.73808
1982-01-06,461374457.24160004,461423388.672,0.0,,22.835616
1982-01-07,470035320.4224,447722588.15999997,0.0,,22.753320000000002
1982-01-08,459099145.728,478304732.16,0.0,,22.637496
1982-01-09,481509740.8512,481485275.13600004,0.0,,22.728935999999997
1982-01-10,479748209.3568,425458787.32799995,0.0,,22.66188
1982-01-11,442462459.39199996,452860388.352,0.0,,22.344888
1982-01-12,439184053.5552,458976817.15199995,0.0,,22.49424
1982-01-13,458560899.99359995,487112389.632,0.0,,22.564344000000002
1982-01-14,461423388.672,444542045.18399996,0.0,,22.735032000000004
1982-01-15,427073524.5312,458487502.84800005,0.0,,22.759416
1982-01-16,426510813.08160007,398301843.45600003,0.0,,22.87524
1982-01-17,443881470.8736,464848588.8,0.0,,22.924008
1982-01-18,479405689.34400004,458487502.84800005,0.0,,22.832568
1982-01-19,479723743.6416,487846361.08799994,0.0,,22.549104000000003
1982-01-20,471943646.208,478794046.4639999,0.0,,22.716744000000002
1982-01-21,468322720.3584,463135988.73599994,0.0,,22.664928
1982-01-22,476469803.52000004,489803618.304,0.0,,22.747224
1982-01-23,479772675.07199997,480017332.224,0.0,,22.853904000000004
1982-01-24,479772675.07199997,465093245.952,0.0,,22.960584
1982-01-25,485889103.8719999,495675389.952,0.0,,22.753320000000002
1982-01-26,483173409.4848,493718132.73600006,489314.304,,22.695408
1982-01-27,527358491.13600004,532129305.59999996,37138955.673599996,,22.674072000000002
1982-01-28,533597248.51199996,532129305.59999996,43181987.327999994,,22.695408
1982-01-29,549377634.816,548521334.7839999,53946902.016,,22.579584
1982-01-30,553977189.2736,523566305.28,56711527.8336,,22.50948
1982-01-31,489338769.71519995,473411589.11999995,0.0,,22.640544000000002
1982-02-01,489558961.152,492739504.128,0.0,,22.430232000000004
1982-02-02,478745115.0336,481485275.13600004,0.0,,22.427184
1982-02-03,487552772.5056,487601703.936,0.0,,22.405848000000002
1982-02-04,487259183.9232,513046047.7439999,0.0,,22.543008
1982-02-05,484225435.2384,472677617.664,0.0,,22.713696
1982-02-06,483197875.2,491271561.216,0.0,,22.564344000000002
1982-02-07,484005243.8016,477570760.70399994,0.0,,22.521672000000002
1982-02-08,484763680.97279996,500813190.14399993,0.0,,22.515576000000003
1982-02-09,482463903.74399996,471209674.75200003,0.0,,22.66188
1982-02-10,482292643.7376,479038703.616,0.0,,22.613112
1982-02-11,483148943.7696,478304732.16,0.0,,22.533864000000005
1982-02-12,487357046.784,480506646.528,0.0,,22.521672000000002
1982-02-13,487185786.77759993,484421160.96000004,0.0,,22.378416
1982-02-14,486965595.3408,511088790.528,0.0,,22.482048000000002
1982-02-15,487503841.0752,471454331.904,0.0,,22.823424
1982-02-16,487454909.64480007,526991505.408,685040.0256,,22.625304000000003
1982-02-17,535383245.7216,485399789.568,44478670.2336,,22.667976000000003
1982-02-18,545389723.2384,666935396.3520001,50301510.45119999,,22.640544000000002
1982-02-19,788627863.7567999,776541800.4479998,296279811.072,,22.442424
1982-02-20,813436098.9696,895689833.4720001,320329609.1136,,22.914864000000005
1982-02-21,861119777.8944001,820824744.96,421960190.0544,,22.87524
1982-02-22,802010609.9712001,818378173.4399999,326323709.3376,,22.84476
1982-02-23,853070557.5936,873915346.944,424626953.0112,,22.884384
1982-02-24,902001987.9936,918198291.456,466536723.1488,,22.872192000000002
1982-02-25,932094817.6896001,938504835.0719999,499565438.6688,,22.89048
1982-02-26,919886425.8048,830121716.7360001,477619692.1344,,22.878288
1982-02-27,803405155.7376001,854587431.936,361309682.0736,,22.424136
1982-02-28,835993488.384,798560944.1279999,388858077.38879997,,22.747224
1982-03-01,814781713.3055999,812995716.0960001,372074596.7616001,,22.366224
1982-03-02,865327880.9087999,859480574.9760001,432774036.1728,,22.11324
1982-03-03,834427682.6112,858501946.368,389004871.68,,22.354032000000004
1982-03-04,836482802.688,859235917.8239999,384062797.2096,,22.652735999999997
1982-03-05,838464525.6191999,800762858.496,387708188.7744,,22.957535999999998
1982-03-06,804799701.504,745714999.296,354067830.37439996,,22.363176000000003
1982-03-07,747231873.6384001,736418027.52,293808773.83680004,,22.134576000000003
1982-03-08,697493074.6367998,739843227.6479999,245831506.3296,,22.253448000000002
1982-03-09,736931807.5392,788285343.7440001,273575627.3664,,22.689312
1982-03-10,779086234.8288,792689172.48,364025376.4608,,23.116032
1982-03-11,852116394.7008,881744375.808,453227374.08,,22.853904000000004
1982-03-12,853926857.6256,866330975.232,427318181.6832,,22.741128
1982-03-13,860948517.8879999,883946290.1760001,425238595.8912,,22.850856
1982-03-14,895958956.3392,905231462.4000001,457533339.95519996,,22.972776000000003
1982-03-15,973784396.3903999,939483463.68,552558177.792,,22.603968000000002
1982-03-16,945917946.7775999,917464320.0000001,542625097.4207999,,22.213824
1982-03-17,922748914.4832001,917953634.3039999,500274944.40959996,,22.055328
1982-03-18,903690122.3424001,891286004.736,479650346.49600005,,22.107144
1982-03-19,850036808.9088,817154887.6800001,420051864.2688,,22.088856
1982-03-20,730252667.2896,747672256.512,297552028.26240003,,22.500336
1982-03-21,747452065.0752001,729567627.264,319473309.08160007,,22.536912
1982-03-22,761152865.5872,740821856.256,326764092.2112,,22.122384
1982-03-23,737714710.4255999,740332541.952,301931391.2832,,22.033992
