date,outflow(m3/d),inflow(m3/d),spill(m3/d),avg_temp(C),wse(m)
1982-01-01,98645763.6864,102511346.688,0.0,,224.29622400000002
1982-01-02,96223657.8816,100798746.62400001,0.0,,224.36023200000002
1982-01-03,103489975.29599999,108872432.64,0.0,,224.43948000000003
1982-01-04,115282450.02239999,102022032.384,0.0,,224.418144
1982-01-05,103294249.5744,100064775.16800001,0.0,,224.29622400000002
1982-01-06,94755714.96959998,98352175.104,0.0,,224.23831200000004
1982-01-07,89813640.4992,101532718.08000001,0.0,,224.43338400000002
1982-01-08,106964106.8544,105936546.81599998,0.0,,224.527872
1982-01-09,105227041.07519999,101532718.08000001,0.0,,224.494344
1982-01-10,92553800.60159999,76577688.576,0.0,,224.35718400000002
1982-01-11,79244451.5328,96150260.736,0.0,,224.36937600000002
1982-01-12,110218046.976,103245318.14400001,0.0,,224.46996000000001
1982-01-13,95318426.41920002,88321231.87200001,0.0,,224.35413600000004
1982-01-14,84969428.8896,82204803.07200001,0.0,,224.341944
1982-01-15,76333031.424,80492203.008,0.0,,224.344992
1982-01-16,82278200.2176,81470831.616,0.0,,224.39071200000004
1982-01-17,82327131.648,87342603.264,0.0,,224.40900000000002
1982-01-18,91501774.848,90278489.08799998,0.0,,224.262696
1982-01-19,86535234.66239999,84406717.44,0.0,,224.39680800000002
1982-01-20,96712972.18560001,108383118.336,0.0,,224.427288
1982-01-21,107233229.72159998,104957918.20799999,0.0,,224.40900000000002
1982-01-22,115282450.02239999,103979289.60000001,0.0,,224.250504
1982-01-23,103049592.42239998,109851061.248,0.0,,223.98837600000002
1982-01-24,101263595.21280001,117924747.26400001,0.0,,224.37242400000002
1982-01-25,141485231.0016,130891576.32,0.0,,224.44557600000002
1982-01-26,118365130.1376,117924747.26400001,0.0,,224.366328
1982-01-27,120273455.9232,127466376.192,0.0,,224.262696
1982-01-28,118365130.1376,117435432.96,0.0,,224.42424
1982-01-29,128420539.08479999,124530490.368,0.0,,224.34804
1982-01-30,117459898.67519999,119392690.17599998,0.0,,224.366328
1982-01-31,111881715.60959998,97618203.648,0.0,,224.30232
1982-02-01,92798457.7536,103979289.60000001,0.0,,224.344992
1982-02-02,106499258.2656,111808318.464,0.0,,224.405952
1982-02-03,113276261.376,115967490.048,0.0,,224.35718400000002
1982-02-04,121325481.6768,119392690.17599998,0.0,,224.384616
1982-02-05,131185164.90239999,117190775.808,0.0,,224.25660000000002
1982-02-06,99232940.85120001,114499547.13599999,0.0,,224.24136000000001
1982-02-07,112175304.192,109606404.09599999,0.0,,224.344992
1982-02-08,116823790.08,111563661.312,0.0,,224.387664
1982-02-09,111319004.16,112542289.92000002,0.0,,224.30232
1982-02-10,117557761.53599998,113765575.67999999,0.0,,224.27793600000004
