date,outflow(m3/d),inflow(m3/d),spill(m3/d),avg_temp(C),wse(m)
1982-01-01,274798913.1264,256890009.6,0.0,,148.6662
1982-01-02,240889431.85919997,271080124.41599995,0.0,,148.617432
1982-01-03,289649602.2528,294811868.16,0.0,,148.611336
1982-01-04,301539939.84000003,309246640.128,0.0,,148.580856
1982-01-05,321528429.1584,323436754.94399995,0.0,,148.54732800000002
1982-01-06,361676667.8016,351572327.42399997,0.0,,148.385784
1982-01-07,374741359.71839994,383133100.032,0.0,,148.288248
1982-01-08,382105539.9936,352306298.88,0.0,,148.26996
1982-01-09,255446532.4032,232424294.4,0.0,,148.57171200000002
1982-01-10,252241523.71199995,285025582.08000004,0.0,,148.370544
1982-01-11,332366740.992,332244412.416,0.0,,148.273008
1982-01-12,309931680.1536,312427183.104,0.0,,148.370544
1982-01-13,331975289.5488,316341697.5360001,0.0,,148.144992
1982-01-14,298432794.0096,282089696.256,0.0,,148.22728800000002
1982-01-15,253391412.32639995,242944551.93599996,0.0,,148.41931200000002
1982-01-16,256596421.01759997,301172954.112,0.0,,148.461984
1982-01-17,309442365.8496,294077896.704,0.0,,148.446744
1982-01-18,287985933.61919993,293588582.40000004,0.0,,148.43150400000002
1982-01-19,331388112.384,337626869.76,0.0,,148.550376
1982-01-20,319106323.35359997,325149355.00799996,0.0,,148.63876800000003
1982-01-21,333638958.18240005,334690983.93600005,0.0,,148.55952
1982-01-22,353774241.79199994,346189870.08000004,0.0,,148.306536
1982-01-23,295350113.89439994,259581238.27199996,0.0,,148.477224
1982-01-24,217622536.704,206735293.43999997,0.0,,148.489416
1982-01-25,223274116.91520002,252486180.864,0.0,,148.60524
1982-01-26,245219863.44960004,240253323.264,0.0,,148.59
1982-01-27,269563250.07360005,271080124.41599995,0.0,,148.617432
1982-01-28,273257573.06880003,275239296.0,0.0,,148.62048000000001
1982-01-29,276854033.2032,279643124.736,0.0,,148.672296
1982-01-30,254223246.64319998,237562094.592,0.0,,148.599144
1982-01-31,217059825.25439999,211139122.176,0.0,,148.632672
1982-02-01,235360180.224,248327009.28,0.0,,148.629624
1982-02-02,257379323.904,248816323.584,0.0,,148.66010400000002
1982-02-03,219922313.9328,241965923.32800004,0.0,,148.669248
1982-02-04,295594771.04639995,312182525.952,0.0,,148.62048000000001
1982-02-05,342764669.95199996,347902470.14399993,0.0,,148.373592
1982-02-06,364685950.7712,334201669.63199997,0.0,,147.763992
1982-02-07,336061063.9872,291142010.88,0.0,,148.077936
1982-02-08,272034287.3088,348391784.448,0.0,,148.57476
1982-02-09,352404161.74079996,343498641.408,0.0,,148.669248
1982-02-10,339290538.39360005,351572327.42399997,0.0,,148.644864
1982-02-11,358520590.5408,348636441.59999996,0.0,,148.367496
1982-02-12,349835261.6448,346679184.38399994,0.0,,148.56256800000003
1982-02-13,307411711.488,277685867.52000004,0.0,,148.57171200000002
