date,avg water temperature (C),min_temp(C),max_temp(C),inflow(m3/d),outflow(m3/d)
1982-01-01,,,,1555481.2409855998,1132762.61376
1982-01-02,,,,1310848.5547008,1076491.4688
1982-01-03,,,,1264290.2986752,1039792.896
1982-01-04,,,,1436675.7279744002,1076491.4688
1982-01-05,,,,1104480.2469888,956609.46432
1982-01-06,,,,958591.1872512,758437.1712
1982-01-07,,,,872031.4868736,758437.1712
1982-01-08,,,,1017920.5466112,807368.6015999999
1982-01-09,,,,978310.5537024,819601.4592
1982-01-10,,,,996635.3743872,819601.4592
1982-01-11,,,,1050949.2621312,819601.4592
1982-01-12,,,,1012293.4321152,824494.60224
1982-01-13,,,,1070521.8342912,836727.45984
1982-01-14,,,,1094547.1666176,868532.8896
1982-01-15,,,,1422143.0931455998,1103403.75552
1982-01-16,,,,4016536.4643840003,3033748.6848
1982-01-17,,,,7534950.967296001,5676045.9264
1982-01-18,,,,5817996.0059904,4110240.1536
1982-01-19,,,,4344083.4594816,3156077.2608
1982-01-20,,,,3401884.3014144,2495502.9504
1982-01-21,,,,2810229.9107328,2084478.93504
1982-01-22,,,,2426705.3592576,1830035.49696
1982-01-23,,,,3811122.3195648,3449665.8432
1982-01-24,,,,13162530.3118848,9908614.656
1982-01-25,,,,12692666.251468798,9052314.624
1982-01-26,,,,10175437.745971201,8049220.3008
1982-01-27,,,,9028656.2774016,7608837.4272
1982-01-28,,,,6391545.7674239995,6091963.0848
1982-01-29,,,,4537313.678131199,4721883.0336
1982-01-30,,,,3870207.0217728,3743254.4255999997
1982-01-31,,,,3750276.0858623995,3449665.8432
1982-02-01,,,,3371375.55456,3278405.8368
1982-02-02,,,,3286308.2628096,3205008.6912
1982-02-03,,,,4109261.524992,3841117.2864
1982-02-04,,,,3718030.2732288,3425200.128
1982-02-05,,,,2991814.4489471996,2593365.8112
1982-02-06,,,,2816444.2023936003,2397640.0896
1982-02-07,,,,2514170.2910976,2104051.5072
1982-02-08,,,,2213364.3227136,1834928.64
1982-02-09,,,,1949183.5299840001,1614737.2031999999
1982-02-10,,,,1703890.2693888,1414118.33856
1982-02-11,,,,1582662.6505727998,1338274.62144
1982-02-12,,,,1469264.0606208,1235518.6176
1982-02-13,,,,1443550.5939455999,1220839.18848
1982-02-14,,,,6088048.570368,5994100.223999999
1982-02-15,,,,15085657.8551808,14826223.4112
1982-02-16,,,,17416579.9394304,16440960.6144
1982-02-17,,,,16134356.2715136,15046414.848
1982-02-18,,,,15146014.774579199,14361374.8224
1982-02-19,,,,20373677.538508803,19254517.8624
1982-02-20,,,,22580387.186688,20918186.496
1982-02-21,,,,22584644.2211328,21236240.7936
1982-02-22,,,,15887007.8908416,15070880.5632
1982-02-23,,,,10650708.7294464,10544723.2512
1982-02-24,,,,7600714.8097536,7706700.288
1982-02-25,,,,5730164.0884224,5822840.2176
1982-02-26,,,,5020511.5533312,4795280.1792
1982-02-27,,,,4500345.982464,4208103.0144
1982-02-28,,,,3999141.3408767995,3718788.7103999997
1982-03-01,,,,4022090.1817344,3767720.1408
1982-03-02,,,,5840944.846848,5504785.92
1982-03-03,,,,5880481.4426112,5529251.6352
1982-03-04,,,,6848149.4102016,6458948.8127999995
1982-03-05,,,,7807352.2403328,7559905.9968
1982-03-06,,,,6896175.6091392,6752537.3952
1982-03-07,,,,5945853.833625601,5749443.072
1982-03-08,,,,5556702.1676544,5162265.9072
1982-03-09,,,,5493384.8967168005,4991005.9008
1982-03-10,,,,6315163.8045696,5969634.5088
1982-03-11,,,,8020448.619724799,7780097.4336
1982-03-12,,,,7424512.728883199,7290783.1296
1982-03-13,,,,6321231.3019392,5945168.7935999995
1982-03-14,,,,5698505.452953599,5455854.4896
1982-03-15,,,,6487842.822451199,6312154.5216
1982-03-16,,,,5840431.0668288,5724977.3568
1982-03-17,,,,5407632.5649408,5333525.9136
1982-03-18,,,,5167452.6388224,4991005.9008
1982-03-19,,,,4798191.5993088,4648485.888
1982-03-20,,,,4235920.532582399,4085774.4384
1982-03-21,,,,4469959.5641856,4305965.8752
1982-03-22,,,,4450533.7863168,4354897.3056
1982-03-23,,,,4494987.9908352,4330431.5904
1982-03-24,,,,4764355.515187199,4599554.4576
1982-03-25,,,,4682224.1092608,4599554.4576
1982-03-26,,,,5170168.3332096,4991005.9008
1982-03-27,,,,5513079.7974528,5333525.9136
1982-03-28,,,,5262330.682368,5137800.192
1982-03-29,,,,4857178.4386559995,4746348.7488
1982-03-30,,,,4426997.7682944,4232568.7296
1982-03-31,,,,4248838.430208,3914514.432
1982-04-01,,,,3893620.7112192,3669857.28
1982-04-02,,,,3653098.2650880003,3400734.4128
1982-04-03,,,,3321196.3726848,3180542.976
1982-04-04,,,,2922405.2149248,2838022.9632
1982-04-05,,,,2788161.8356223996,2519968.6656
1982-04-06,,,,2501815.1049216,2346262.08768
1982-04-07,,,,2421445.2304896,2265525.22752
1982-04-08,,,,2314114.1379072,2148089.79456
1982-04-09,,,,2158781.3121023998,2050226.93376
1982-04-10,,,,2116798.1448192,2050226.93376
1982-04-11,,,,3773689.7753088,3645391.5648
1982-04-12,,,,9586450.1182464,9615026.0736
1982-04-13,,,,9231819.576422399,9174643.2
1982-04-14,,,,10767116.602367999,10667051.8272
1982-04-15,,,,9582339.8780928,9639491.7888
1982-04-16,,,,7496662.123008,7510974.5664
1982-04-17,,,,6010320.9931776,6067497.3696
1982-04-18,,,,5627310.2217216,5455854.4896
1982-04-19,,,,4930110.7356672,4844211.6096
1982-04-20,,,,4214097.114624,4257034.4448
1982-04-21,,,,3661490.0054015997,3718788.7103999997
1982-04-22,,,,4323336.532992,4036843.008
1982-04-23,,,,5509067.42016,5480320.2047999995
1982-04-24,,,,7310967.34464,7339714.56
1982-04-25,,,,6896738.3205888,6997194.5472
1982-04-26,,,,5951285.2224,5994100.223999999
1982-04-27,,,,5916690.7011072,5529251.6352
1982-04-28,,,,6421442.8713984005,5945168.7935999995
1982-04-29,,,,7070909.7470976,6679140.2496
1982-04-30,,,,6369208.569446401,6165360.2304
1982-05-01,,,,6633585.087897601,6385551.6672
1982-05-02,,,,7133639.8408704,6972728.8319999995
1982-05-03,,,,6937767.3249792,6850400.256
1982-05-04,,,,5984142.6779136,5969634.5088
1982-05-05,,,,4951224.6478848,4893143.04
1982-05-06,,,,4399375.9758336,4428294.4512
1982-05-07,,,,4575749.316710399,4648485.888
1982-05-08,,,,4814094.3141888,4844211.6096
1982-05-09,,,,4355973.7970688,4354897.3056
1982-05-10,,,,3987911.5776,3987911.5776
1982-05-11,,,,3792185.856,3792185.856
1982-05-12,,,,3850291.9296,3792185.856
1982-05-13,,,,3865583.0016,3865583.0016
1982-05-14,,,,3890831.6196863996,3963445.8624
1982-05-15,,,,4217815.9033344,4232568.7296
1982-05-16,,,,4301170.5950208,4330431.5904
1982-05-17,,,,4457555.4465792,4428294.4512
1982-05-18,,,,4256471.7333504,4183637.2992
1982-05-19,,,,3425200.128,3425200.128
1982-05-20,,,,3013858.0583423995,2984817.2544
1982-05-21,,,,2916093.0604032003,2886954.3936
1982-05-22,,,,3107145.8304,3107145.8304
1982-05-23,,,,3263873.2019712,3278405.8368
1982-05-24,,,,2930405.5037952,2886954.3936
1982-05-25,,,,2613378.7662336,2642297.2416
1982-05-26,,,,2720954.515968,2764625.8176
1982-05-27,,,,2331729.4528512,2346262.08768
1982-05-28,,,,2015607.9467520001,1971936.64512
1982-05-29,,,,1841974.7659776,1812909.49632
1982-05-30,,,,1592864.8538111998,1607397.4886399999
1982-05-31,,,,1499307.9588864,1470389.48352
1982-06-01,,,,1487515.48416,1487515.48416
1982-06-02,,,,1556019.48672,1556019.48672
1982-06-03,,,,1595605.0139135998,1624523.4892799999
1982-06-04,,,,1429311.5476992,1487515.48416
1982-06-05,,,,1477215.4180607998,1419011.4816
1982-06-06,,,,1331081.7011711998,1345614.336
1982-06-07,,,,1286749.8252288,1272217.1904
1982-06-08,,,,1184287.4099712,1198820.0448
1982-06-09,,,,1171271.6494848,1113190.0415999999
1982-06-10,,,,981711.2881152,1039792.896
1982-06-11,,,,945404.1667584,1076491.4688
1982-06-12,,,,1052441.6707584,1184140.61568
1982-06-13,,,,1568692.7271935998,1641649.48992
1982-06-14,,,,1566074.8956672,1624523.4892799999
1982-06-15,,,,1360293.7651199999,1360293.7651199999
1982-06-16,,,,1242858.33216,1242858.33216
1982-06-17,,,,1140102.32832,1140102.32832
1982-06-18,,,,993552.694272,1052025.7536
1982-06-19,,,,838024.1427456,1027560.0384
1982-06-20,,,,734803.2903167999,1039792.896
1982-06-21,,,,820237.5677951999,1052025.7536
1982-06-22,,,,726656.2071552,1015327.1808
1982-06-23,,,,703829.6948736,978628.608
1982-06-24,,,,634151.337984,905231.4624
1982-06-25,,,,566430.2383104,880765.7472
1982-06-26,,,,531248.5398528,929697.1775999999
1982-06-27,,,,561659.4238464,929697.1775999999
1982-06-28,,,,520924.0080384,929697.1775999999
1982-06-29,,,,593048.936448,929697.1775999999
1982-06-30,,,,566650.4297472,929697.1775999999
1982-07-01,,,,540423.1830528,929697.1775999999
1982-07-02,,,,583874.293248,929697.1775999999
1982-07-03,,,,707646.3464448,1052025.7536
1982-07-04,,,,729494.2301184001,1113190.0415999999
1982-07-05,,,,709432.3436544001,1064258.6112
1982-07-06,,,,677088.66816,1003094.3232
1982-07-07,,,,613379.9457792001,978628.608
1982-07-08,,,,619985.6888831999,929697.1775999999
1982-07-09,,,,543236.7403008,905231.4624
1982-07-10,,,,520459.1594496,880765.7472
1982-07-11,,,,405029.915136,856300.032
1982-07-12,,,,354214.6246656,868532.8896
1982-07-13,,,,357639.8247936,868532.8896
1982-07-14,,,,310005.0772992,856300.032
1982-07-15,,,,284609.66492159996,819601.4592
1982-07-16,,,,296328.7425024,819601.4592
1982-07-17,,,,261269.37262080002,807368.6015999999
1982-07-18,,,,254174.3152128,782902.8864
1982-07-19,,,,180483.58103039998,770670.0288
1982-07-20,,,,133460.476416,770670.0288
1982-07-21,,,,100603.02090239999,770670.0288
1982-07-22,,,,42692.673023999996,795135.744
1982-07-23,,,,62534.3680512,819601.4592
1982-07-24,,,,70681.4512128,844067.1744
1982-07-25,,,,79317.8486784,844067.1744
1982-07-26,,,,51573.727641599995,844067.1744
1982-07-27,,,,13211.486208,844067.1744
1982-07-28,,,,-22826.5122816,868532.8896
1982-07-29,,,,25444.343808,892998.6048
1982-07-30,,,,12648.774758399999,868532.8896
1982-07-31,,,,-17346.192076799998,868532.8896
1982-08-01,,,,-4697.4173184,880765.7472
1982-08-02,,,,-13015.7604864,880765.7472
1982-08-03,,,,-22483.992268799997,880765.7472
1982-08-04,,,,46949.7074688,880765.7472
1982-08-05,,,,80687.9287296,880765.7472
1982-08-06,,,,39047.2814592,844067.1744
1982-08-07,,,,14532.6348288,819601.4592
1982-08-08,,,,29946.0354048,807368.6015999999
1982-08-09,,,,7633.3031424,795135.744
1982-08-10,,,,-11963.7347328,795135.744
1982-08-11,,,,10177.7375232,795135.744
1982-08-12,,,,61678.0680192,795135.744
1982-08-13,,,,76895.7428736,770670.0288
1982-08-14,,,,13749.7319424,729078.31296
1982-08-15,,,,-7486.5088512,719292.02688
1982-08-16,,,,-26716.5609984,709505.7408
1982-08-17,,,,-55292.516352000006,699719.45472
1982-08-18,,,,-63097.0795008,699719.45472
1982-08-19,,,,-50888.687616,699719.45472
1982-08-20,,,,-48197.458944,709505.7408
1982-08-21,,,,-46264.6674432,689933.16864
1982-08-22,,,,-79856.0944128,689933.16864
1982-08-23,,,,-66815.8682112,689933.16864
1982-08-24,,,,-10055.408947200001,689933.16864
1982-08-25,,,,76039.4428416,738864.59904
1982-08-26,,,,59353.8250752,729078.31296
1982-08-27,,,,5994.100224000001,719292.02688
1982-08-28,,,,6336.6202367999995,719292.02688
1982-08-29,,,,25909.1923968,738864.59904
1982-08-30,,,,57714.6221568,770670.0288
1982-08-31,,,,57200.8421376,770670.0288
1982-09-01,,,,72100.46269439999,729078.31296
1982-09-02,,,,57225.307852800004,719292.02688
1982-09-03,,,,57445.4992896,699719.45472
1982-09-04,,,,108725.6383488,660574.3104
1982-09-05,,,,106401.3954048,626322.30912
1982-09-06,,,,81348.50304,609196.30848
1982-09-07,,,,94926.974976,592070.30784
1982-09-08,,,,75354.402816,557818.3065599999
1982-09-09,,,,60038.865100799994,557818.3065599999
1982-09-10,,,,51647.124787199995,626322.30912
1982-09-11,,,,41860.8387072,626322.30912
1982-09-12,,,,140628.93096959998,643448.30976
1982-09-13,,,,122108.38456319999,609196.30848
1982-09-14,,,,200007.22176,533352.59136
1982-09-15,,,,176153.14944,452615.7312
1982-09-16,,,,178966.706688,445276.01664
1982-09-17,,,,136274.03366400002,445276.01664
1982-09-18,,,,124457.0932224,467295.16031999997
1982-09-19,,,,209059.536384,540692.30592
1982-09-20,,,,218968.15104,445276.01664
1982-09-21,,,,206001.321984,423256.87296
1982-09-22,,,,192863.2329216,408577.44384
1982-09-23,,,,179823.00672,393898.01472
1982-09-24,,,,167394.4233984,393898.01472
1982-09-25,,,,183419.4668544,401237.72927999997
1982-09-26,,,,208056.4420608,437936.30208
1982-09-27,,,,223714.4997888,437936.30208
1982-09-28,,,,290799.4908672,393898.01472
1982-09-29,,,,345455.89862399996,318054.2976
1982-09-30,,,,318054.2976,318054.2976
1982-10-01,,,,326910.8865024,313161.15456
1982-10-02,,,,332880.5210112,298481.72544
1982-10-03,,,,306897.9314688,286248.86784
1982-10-04,,,,294616.1424384,274016.01024
1982-10-05,,,,282481.14769919997,261783.15264
1982-10-06,,,,245097.5348736,251996.86656
1982-10-07,,,,270688.6729728,256890.0096
1982-10-08,,,,284952.1849344,264229.72416
1982-10-09,,,,315852.383232,281355.72479999997
1982-10-10,,,,325712.0664576,291142.01088
1982-10-11,,,,302151.58272,281355.72479999997
1982-10-12,,,,303692.9227776,269122.8672
1982-10-13,,,,277734.79895039997,256890.0096
1982-10-14,,,,279789.91902719997,251996.86656
1982-10-15,,,,263471.2869888,249550.29504
1982-10-16,,,,279349.5361536,244657.152
1982-10-17,,,,237733.3545984,244657.152
1982-10-18,,,,272499.1358976,244657.152
1982-10-19,,,,292487.625216,271569.43872
1982-10-20,,,,287594.48217599996,266676.29568
1982-10-21,,,,275655.2131584,261783.15264
1982-10-22,,,,296720.1939456,261783.15264
1982-10-23,,,,344281.54429439997,281355.72479999997
1982-10-24,,,,309368.968704,281355.72479999997
1982-10-25,,,,302420.7055872,281355.72479999997
1982-10-26,,,,333834.683904,305821.44
1982-10-27,,,,346140.93864959996,318054.2976
1982-10-28,,,,360331.0534656,318054.2976
1982-10-29,,,,1066191.4027008,719292.02688
1982-10-30,,,,1373823.3056255998,1015327.1808
1982-10-31,,,,1119551.127552,844067.1744
1982-11-01,,,,931214.0519424,719292.02688
1982-11-02,,,,805435.8100991999,636108.5952
1982-11-03,,,,747500.9965055999,584730.59328
1982-11-04,,,,652280.4329472,533352.59136
1982-11-05,,,,618566.6774016,499100.59008
1982-11-06,,,,626395.7062655999,506440.30464
1982-11-07,,,,655827.9616512,550478.592
1982-11-08,,,,663754.8533760001,550478.592
1982-11-09,,,,633808.8179712,550478.592
1982-11-10,,,,654898.2644736,533352.59136
1982-11-11,,,,646066.1412864,516226.59072
1982-11-12,,,,575678.278656,499100.59008
1982-11-13,,,,589183.3534464,489314.304
1982-11-14,,,,589892.8591872,481974.58944
1982-11-15,,,,560118.0837887999,467295.16031999997
1982-11-16,,,,560778.6580992,459955.44576
1982-11-17,,,,568509.8241024,467295.16031999997
1982-11-18,,,,592755.3478656,499100.59008
1982-11-19,,,,703682.9005824,601856.59392
1982-11-20,,,,848911.3860096,738864.59904
1982-11-21,,,,937917.6579072,819601.4592
1982-11-22,,,,926149.648896,807368.6015999999
1982-11-23,,,,865963.9895039999,738864.59904
1982-11-24,,,,809619.4473984,689933.16864
1982-11-25,,,,780382.9177344,636108.5952
1982-11-26,,,,690300.154368,601856.59392
1982-11-27,,,,696612.3088896,567604.59264
1982-11-28,,,,712735.2152064,574944.3072
1982-11-29,,,,810353.4188544,680146.8825599999
1982-11-30,,,,1460676.5945855998,1198820.0448
1982-12-01,,,,1534440.7259135998,1286896.61952
1982-12-02,,,,1588705.6822272,1272217.1904
1982-12-03,,,,3305929.7664,2108944.65024
1982-12-04,,,,4375154.9177856,3253940.1215999997
1982-12-05,,,,4477323.7444608,3571994.4192
1982-12-06,,,,4758581.6064,3596460.1344
1982-12-07,,,,4818914.0600832,3792185.856
1982-12-08,,,,3675655.6545023997,2911420.1088
1982-12-09,,,,2941317.2127744,2304670.37184
1982-12-10,,,,2338481.9902464002,1881413.49888
1982-12-11,,,,2071830.1602816,1573145.48736
1982-12-12,,,,1673528.3168255999,1389652.62336
1982-12-13,,,,1861743.0638592,1389652.62336
1982-12-14,,,,1829986.5655296,1419011.4816
1982-12-15,,,,4272031.9282176,3156077.2608
1982-12-16,,,,6301585.3326336,4746348.7488
1982-12-17,,,,5360854.1174784005,4183637.2992
1982-12-18,,,,4307898.6667008,3474131.5584
1982-12-19,,,,3433494.0054528,2740160.1023999997
1982-12-20,,,,2772944.1607680004,2206807.51104
1982-12-21,,,,2524494.8229119997,1991509.21728
1982-12-22,,,,2539443.3748992,2030654.3616
1982-12-23,,,,2484909.2957184,2011081.78944
1982-12-24,,,,2192152.5476352,1795783.49568
1982-12-25,,,,1924889.0747904,1556019.48672
1982-12-26,,,,1775966.2663679998,1436137.48224
1982-12-27,,,,1594846.5767424,1301576.04864
1982-12-28,,,,1361247.9280128,1125422.8991999999
1982-12-29,,,,1284229.8565632,1027560.0384
1982-12-30,,,,1162439.5262976,954162.8928
1982-12-31,,,,1025504.9183232001,856300.032
1983-01-01,,,,930357.7519104,770670.0288
1983-01-02,,,,898870.376448,748650.88512
1983-01-03,,,,830953.5510527999,770670.0288
1983-01-04,,,,1002776.2689024,831834.3168
1983-01-05,,,,2601072.5114880004,1952364.07296
1983-01-06,,,,10195573.0295808,8073686.016
1983-01-07,,,,16485047.8331904,14190114.816
1983-01-08,,,,12155912.925696,10520257.536
1983-01-09,,,,8761294.941696001,7706700.288
1983-01-10,,,,6334883.1710208,5847305.9328
1983-01-11,,,,5019361.664716801,4844211.6096
1983-01-12,,,,4196383.9368192,4208103.0144
1983-01-13,,,,3638198.6445311997,3743254.4255999997
1983-01-14,,,,3201436.6967808,3376268.6976
1983-01-15,,,,2840151.4804223995,3107145.8304
1983-01-16,,,,2634027.8298623995,2911420.1088
1983-01-17,,,,2429592.3136512,2740160.1023999997
1983-01-18,,,,2250307.5526656,2593365.8112
1983-01-19,,,,2245071.8896128,2495502.9504
