date,max_temp(C),min_temp(C),avg discharge (cfs),outflow(m3/d)
1982-08-01 00:00:00+00:00,16.5,12.7,86.0,210405.15072
1982-08-02 00:00:00+00:00,16.5,12.2,85.0,207958.5792
1982-08-03 00:00:00+00:00,16.3,12.2,86.0,210405.15072
1982-08-04 00:00:00+00:00,16.5,12.6,89.0,217744.86528
1982-08-05 00:00:00+00:00,17.0,12.6,90.0,220191.4368
1982-08-06 00:00:00+00:00,17.1,13.1,87.0,212851.72223999997
1982-08-07 00:00:00+00:00,14.8,13.0,84.0,205512.00767999998
1982-08-08 00:00:00+00:00,17.2,13.5,85.0,207958.5792
1982-08-09 00:00:00+00:00,16.6,12.5,83.0,203065.43616
1982-08-10 00:00:00+00:00,15.8,12.2,79.0,193279.15008
1982-08-11 00:00:00+00:00,15.7,12.2,77.0,188386.00704
1982-08-12 00:00:00+00:00,15.6,11.3,74.0,181046.29248
1982-08-13 00:00:00+00:00,15.9,11.2,73.0,178599.72095999998
1982-08-14 00:00:00+00:00,15.2,11.7,73.0,178599.72095999998
1982-08-15 00:00:00+00:00,15.6,11.3,73.0,178599.72095999998
1982-08-16 00:00:00+00:00,15.6,11.1,73.0,178599.72095999998
1982-08-17 00:00:00+00:00,15.3,11.1,73.0,178599.72095999998
1982-08-18 00:00:00+00:00,15.6,11.2,72.0,176153.14944
1982-08-19 00:00:00+00:00,14.7,11.2,72.0,176153.14944
1982-08-20 00:00:00+00:00,15.6,11.3,72.0,176153.14944
1982-08-21 00:00:00+00:00,15.5,10.9,71.0,173706.57792
1982-08-22 00:00:00+00:00,15.6,11.3,72.0,176153.14944
1982-08-23 00:00:00+00:00,15.8,11.5,70.0,171260.00639999998
1982-08-24 00:00:00+00:00,15.8,11.5,70.0,171260.00639999998
1982-08-25 00:00:00+00:00,15.0,10.9,69.0,168813.43488
1982-08-26 00:00:00+00:00,14.9,10.8,69.0,168813.43488
1982-08-27 00:00:00+00:00,14.6,10.5,69.0,168813.43488
1982-08-28 00:00:00+00:00,12.5,10.1,68.0,166366.86336
1982-08-29 00:00:00+00:00,16.0,11.3,83.0,203065.43616
1982-08-30 00:00:00+00:00,15.6,12.2,81.0,198172.29312000002
1982-08-31 00:00:00+00:00,15.0,11.5,76.0,185939.43552
1982-09-01 00:00:00+00:00,14.9,11.0,73.0,178599.72095999998
1982-09-02 00:00:00+00:00,14.2,11.0,73.0,178599.72095999998
1982-09-03 00:00:00+00:00,13.5,11.4,74.0,181046.29248
1982-09-04 00:00:00+00:00,14.6,10.7,73.0,178599.72095999998
1982-09-05 00:00:00+00:00,14.4,10.7,73.0,178599.72095999998
1982-09-06 00:00:00+00:00,14.1,10.7,73.0,178599.72095999998
1982-09-07 00:00:00+00:00,14.1,10.5,74.0,181046.29248
1982-09-08 00:00:00+00:00,13.9,10.0,66.0,161473.72032
1982-09-09 00:00:00+00:00,13.8,10.1,67.0,163920.29184000002
1982-09-10 00:00:00+00:00,13.4,10.6,80.0,195725.7216
1982-09-11 00:00:00+00:00,12.6,9.1,77.0,188386.00704
1982-09-12 00:00:00+00:00,13.5,10.7,80.0,195725.7216
1982-09-13 00:00:00+00:00,12.6,9.7,75.0,183492.864
1982-09-14 00:00:00+00:00,12.3,8.8,66.0,161473.72032
1982-09-15 00:00:00+00:00,11.2,8.5,70.0,171260.00639999998
1982-09-16 00:00:00+00:00,11.5,9.0,70.0,171260.00639999998
1982-09-17 00:00:00+00:00,12.6,10.0,70.0,171260.00639999998
1982-09-18 00:00:00+00:00,11.6,10.3,78.0,190832.57856000002
1982-09-19 00:00:00+00:00,13.2,11.5,93.0,227531.15136
1982-09-20 00:00:00+00:00,13.3,10.7,92.0,225084.57984000002
1982-09-21 00:00:00+00:00,13.4,10.8,89.0,217744.86528
1982-09-22 00:00:00+00:00,13.5,10.3,82.0,200618.86463999999
1982-09-23 00:00:00+00:00,13.4,10.2,80.0,195725.7216
1982-09-24 00:00:00+00:00,13.4,11.5,80.0,195725.7216
1982-09-25 00:00:00+00:00,13.8,11.3,84.0,205512.00767999998
1982-09-26 00:00:00+00:00,13.0,10.6,83.0,203065.43616
1982-09-27 00:00:00+00:00,12.5,10.6,104.0,254443.43808000002
1982-09-28 00:00:00+00:00,12.6,10.2,83.0,203065.43616
1982-09-29 00:00:00+00:00,12.1,9.8,93.0,227531.15136
1982-09-30 00:00:00+00:00,11.8,9.3,74.0,181046.29248
1982-10-01 00:00:00+00:00,12.0,9.2,74.0,181046.29248
1982-10-02 00:00:00+00:00,12.0,9.3,75.0,183492.864
1982-10-03 00:00:00+00:00,12.2,9.6,75.0,183492.864
1982-10-04 00:00:00+00:00,11.7,9.5,75.0,183492.864
1982-10-05 00:00:00+00:00,11.7,8.7,72.0,176153.14944
1982-10-06 00:00:00+00:00,10.4,9.2,75.0,183492.864
1982-10-07 00:00:00+00:00,11.2,9.4,80.0,195725.7216
1982-10-08 00:00:00+00:00,11.6,9.0,78.0,190832.57856000002
1982-10-09 00:00:00+00:00,12.0,9.3,77.0,188386.00704
1982-10-10 00:00:00+00:00,11.9,9.2,77.0,188386.00704
1982-10-11 00:00:00+00:00,12.1,9.3,135.0,330287.1552
1982-10-12 00:00:00+00:00,10.9,9.6,313.0,765776.88576
1982-10-13 00:00:00+00:00,11.7,10.1,330.0,807368.6015999999
1982-10-14 00:00:00+00:00,12.6,11.4,233.0,570051.16416
1982-10-15 00:00:00+00:00,13.4,11.7,144.0,352306.29888
1982-10-16 00:00:00+00:00,13.4,11.8,136.0,332733.72672
1982-10-17 00:00:00+00:00,13.2,11.9,112.0,274016.01024
1982-10-18 00:00:00+00:00,12.8,11.1,112.0,274016.01024
1982-10-19 00:00:00+00:00,12.7,11.1,112.0,274016.01024
1982-10-20 00:00:00+00:00,12.8,11.6,112.0,274016.01024
1982-10-21 00:00:00+00:00,12.5,11.6,121.0,296035.15392
1982-10-22 00:00:00+00:00,12.5,11.4,137.0,335180.29824
1982-10-23 00:00:00+00:00,11.9,11.3,359.0,878319.17568
1982-10-24 00:00:00+00:00,12.2,11.5,490.0,1198820.0448
1982-10-25 00:00:00+00:00,12.3,11.2,428.0,1047132.61056
1982-10-26 00:00:00+00:00,11.7,10.8,249.0,609196.30848
1982-10-27 00:00:00+00:00,11.7,10.8,288.0,704612.59776
1982-10-28 00:00:00+00:00,11.4,10.8,281.0,687486.5971199999
1982-10-29 00:00:00+00:00,11.2,10.4,230.0,562711.4495999999
1982-10-30 00:00:00+00:00,11.1,10.3,170.0,415917.1584
1982-10-31 00:00:00+00:00,11.1,9.7,143.0,349859.72736
1982-11-01 00:00:00+00:00,10.7,9.5,139.0,340073.44128
1982-11-02 00:00:00+00:00,10.6,9.2,137.0,335180.29824
1982-11-03 00:00:00+00:00,10.7,9.3,137.0,335180.29824
1982-11-04 00:00:00+00:00,10.8,9.4,135.0,330287.1552
1982-11-05 00:00:00+00:00,10.5,9.2,135.0,330287.1552
1982-11-06 00:00:00+00:00,10.3,9.3,132.0,322947.44064
1982-11-07 00:00:00+00:00,9.8,8.7,132.0,322947.44064
1982-11-08 00:00:00+00:00,9.7,9.0,132.0,322947.44064
1982-11-09 00:00:00+00:00,9.5,8.4,132.0,322947.44064
1982-11-10 00:00:00+00:00,9.4,8.4,131.0,320500.86912
1982-11-11 00:00:00+00:00,9.4,8.4,130.0,318054.2976
1982-11-12 00:00:00+00:00,9.4,8.2,128.0,313161.15456
1982-11-13 00:00:00+00:00,9.1,7.9,128.0,313161.15456
1982-11-14 00:00:00+00:00,8.9,7.6,118.0,288695.43936
1982-11-15 00:00:00+00:00,8.7,7.4,103.0,251996.86656
1982-11-16 00:00:00+00:00,8.4,7.4,103.0,251996.86656
1982-11-17 00:00:00+00:00,8.2,7.6,104.0,254443.43808000002
1982-11-18 00:00:00+00:00,8.1,6.6,114.0,278909.15327999997
1982-11-19 00:00:00+00:00,8.4,7.4,112.0,274016.01024
1982-11-20 00:00:00+00:00,8.4,7.5,110.0,269122.8672
1982-11-21 00:00:00+00:00,8.3,7.4,110.0,269122.8672
1982-11-22 00:00:00+00:00,8.2,7.5,110.0,269122.8672
1982-11-23 00:00:00+00:00,8.4,7.2,110.0,269122.8672
1982-11-24 00:00:00+00:00,7.6,6.8,110.0,269122.8672
1982-11-25 00:00:00+00:00,7.8,6.7,110.0,269122.8672
1982-11-26 00:00:00+00:00,8.0,6.8,110.0,269122.8672
1982-11-27 00:00:00+00:00,7.5,7.1,118.0,288695.43936
1982-11-28 00:00:00+00:00,7.3,5.8,172.0,420810.30144
1982-11-29 00:00:00+00:00,7.1,6.3,272.0,665467.45344
1982-11-30 00:00:00+00:00,7.0,6.7,277.0,677700.3110400001
1982-12-01 00:00:00+00:00,6.9,6.5,262.0,641001.73824
1982-12-02 00:00:00+00:00,6.7,6.2,254.0,621429.16608
1982-12-03 00:00:00+00:00,7.0,6.5,249.0,609196.30848
1982-12-04 00:00:00+00:00,7.3,6.7,247.0,604303.16544
1982-12-05 00:00:00+00:00,7.4,6.5,242.0,592070.30784
1982-12-06 00:00:00+00:00,7.1,6.2,186.0,455062.30272
1982-12-07 00:00:00+00:00,6.2,5.6,143.0,349859.72736
1982-12-08 00:00:00+00:00,6.0,5.2,141.0,344966.58432
1982-12-09 00:00:00+00:00,6.0,5.2,141.0,344966.58432
1982-12-10 00:00:00+00:00,6.3,5.2,140.0,342520.01279999997
1982-12-11 00:00:00+00:00,6.2,5.2,138.0,337626.86976
1982-12-12 00:00:00+00:00,6.1,5.3,140.0,342520.01279999997
1982-12-13 00:00:00+00:00,6.0,5.6,139.0,340073.44128
1982-12-14 00:00:00+00:00,5.7,5.1,139.0,340073.44128
1982-12-15 00:00:00+00:00,5.2,4.6,151.0,369432.29951999994
1982-12-16 00:00:00+00:00,5.2,4.5,693.0,1695474.0633599998
1982-12-17 00:00:00+00:00,5.3,5.1,1260.0,3082680.1152
1982-12-18 00:00:00+00:00,5.2,4.7,882.0,2157876.08064
1982-12-19 00:00:00+00:00,5.6,4.5,162.0,396344.58624000003
1982-12-20 00:00:00+00:00,4.8,4.4,297.0,726631.7414399999
1982-12-21 00:00:00+00:00,4.8,4.1,661.0,1617183.77472
1982-12-22 00:00:00+00:00,4.6,4.2,719.0,1759084.92288
1982-12-23 00:00:00+00:00,4.5,4.3,577.0,1411671.7670399998
1982-12-24 00:00:00+00:00,4.2,3.4,248.0,606749.73696
1982-12-25 00:00:00+00:00,4.1,3.2,141.0,344966.58432
1982-12-26 00:00:00+00:00,4.3,3.8,140.0,342520.01279999997
1982-12-27 00:00:00+00:00,4.0,3.1,139.0,340073.44128
1982-12-28 00:00:00+00:00,3.5,2.7,142.0,347413.15584
1982-12-29 00:00:00+00:00,3.4,2.5,145.0,354752.87039999996
1982-12-30 00:00:00+00:00,,,146.0,357199.44191999995
1982-12-31 00:00:00+00:00,,,141.0,344966.58432
